frame_idx,seq,sample_id,weather,num_fg_patches,num_bg_patches,camera_mean,lidar_mean,radar_mean,dominant,dominant_value,dominance_margin,entropy_mean,balance_score_mean,fg_gate_mean,bg_gate_mean,fg_gate_delta
0,1,00182,urban,8,4,0.004217,0.995190,0.000594,L,0.995190,0.990973,0.026201,0.005404,0.272027,0.141532,0.130495
1,1,00183,urban,8,4,0.003405,0.996076,0.000519,L,0.996076,0.992671,0.022209,0.004443,0.309796,0.118652,0.191144
