weather,feature,pair,frames,mean,min,max,p05,p25,median,p75,p95
normal,raw,Camera–LiDAR,4309,-0.028562817865436813,-0.09786384552717209,0.08841961622238159,-0.05681437328457832,-0.03799726441502571,-0.028163913637399673,-0.019017599523067474,-0.0023029974196106203
normal,raw,Camera–4D Radar,4309,-0.37580565253718323,-0.4295485019683838,-0.23656490445137024,-0.40188332200050353,-0.38818347454071045,-0.37736546993255615,-0.3652525544166565,-0.34443454146385194
normal,raw,LiDAR–4D Radar,4309,0.4133487506217374,0.19776330888271332,0.5027669072151184,0.37881219387054443,0.4031946063041687,0.4155670702457428,0.42600783705711365,0.44007809162139894
normal,common,Camera–LiDAR,4309,0.9455454915409216,0.8962398767471313,0.9766485095024109,0.9265267610549927,0.9377766847610474,0.9459306001663208,0.9527119994163513,0.9654469132423401
normal,common,Camera–4D Radar,4309,0.9583912020383619,0.9102526903152466,0.978118896484375,0.9457978725433349,0.9547819495201111,0.9591131210327148,0.9631839990615845,0.9684713840484619
normal,common,LiDAR–4D Radar,4309,0.9620795425889552,0.887132465839386,0.9893975257873535,0.9432896614074707,0.9565747380256653,0.9632254838943481,0.9689778685569763,0.9776476621627808
normal,unique,Camera–LiDAR,4309,0.34293723249205804,0.07460068166255951,0.6429245471954346,0.20481573343276976,0.2782037556171417,0.34155943989753723,0.3994757831096649,0.5057249426841736
normal,unique,Camera–4D Radar,4309,0.6545388906205107,0.5437228679656982,0.6930535435676575,0.6216983675956727,0.6456415057182312,0.6573863625526428,0.6666008830070496,0.6778673648834228
normal,unique,LiDAR–4D Radar,4309,0.34101161317167994,0.07976129651069641,0.615037739276886,0.21126910150051117,0.28187522292137146,0.3383830785751343,0.3942020535469055,0.4947902202606201
overcast,raw,Camera–LiDAR,383,-0.023070832679787403,-0.054924026131629944,0.0007669387850910425,-0.03651718124747276,-0.02801797166466713,-0.02239617519080639,-0.01808818895369768,-0.010581904835999013
overcast,raw,Camera–4D Radar,383,-0.37248718193865943,-0.4002514183521271,-0.3360280692577362,-0.3863489180803299,-0.37814919650554657,-0.37216615676879883,-0.36708518862724304,-0.3580984115600586
overcast,raw,LiDAR–4D Radar,383,0.41193942231546804,0.33180636167526245,0.4432705044746399,0.3889837980270386,0.4052840322256088,0.4137183427810669,0.42036180198192596,0.4323919892311096
overcast,common,Camera–LiDAR,383,0.9520032136620803,0.9303408265113831,0.9748443961143494,0.9407716572284699,0.9481041133403778,0.9519561529159546,0.9557628333568573,0.9638985514640808
overcast,common,Camera–4D Radar,383,0.9573540776267687,0.932601273059845,0.9744352698326111,0.9483475089073181,0.9540044069290161,0.9575448632240295,0.961020439863205,0.9652405858039856
overcast,common,LiDAR–4D Radar,383,0.9675542699761552,0.9334060549736023,0.9849413633346558,0.9547832787036896,0.9636258780956268,0.968999445438385,0.97236567735672,0.9770717442035675
overcast,unique,Camera–LiDAR,383,0.4210935292605009,0.30516815185546875,0.640873372554779,0.33858130872249603,0.3918996900320053,0.4220728278160095,0.44692809879779816,0.4889004200696945
overcast,unique,Camera–4D Radar,383,0.650080481335015,0.597491979598999,0.6928911805152893,0.6255231678485871,0.6419048607349396,0.6514577865600586,0.6602795720100403,0.6693103313446045
overcast,unique,LiDAR–4D Radar,383,0.41110955174846997,0.30126747488975525,0.5899183750152588,0.3366598606109619,0.3837077021598816,0.4111141264438629,0.4379620850086212,0.4753470361232758
fog,raw,Camera–LiDAR,1049,-0.02398676091741122,-0.09082809090614319,0.02219565585255623,-0.05292664393782615,-0.03013804368674755,-0.022175347432494164,-0.015328176319599152,-0.001419419096782816
fog,raw,Camera–4D Radar,1049,-0.38064996206385393,-0.42122551798820496,-0.32398897409439087,-0.4050157189369202,-0.3932377099990845,-0.38407501578330994,-0.3715900778770447,-0.34142224788665776
fog,raw,LiDAR–4D Radar,1049,0.4081567101130836,0.2641635239124298,0.4714299738407135,0.3461781144142151,0.39170435070991516,0.4101123511791229,0.4279026389122009,0.4570070624351501
fog,common,Camera–LiDAR,1049,0.9390544055528705,0.8879202008247375,0.9753628969192505,0.894130003452301,0.9321694374084473,0.9426143169403076,0.9523814916610718,0.9683822393417358
fog,common,Camera–4D Radar,1049,0.9505139496124165,0.9056890606880188,0.9736272692680359,0.9151420950889587,0.9476667642593384,0.955524206161499,0.9614017605781555,0.9671567678451538
fog,common,LiDAR–4D Radar,1049,0.964731947027921,0.9223442077636719,0.9890603423118591,0.9504302501678467,0.9588432312011719,0.9644829034805298,0.9710623621940613,0.9805999636650086
fog,unique,Camera–LiDAR,1049,0.46592796334661224,0.12885373830795288,0.7706965208053589,0.30922389030456543,0.41131123900413513,0.47405871748924255,0.5320034027099609,0.6137711286544799
fog,unique,Camera–4D Radar,1049,0.6612370943773123,0.5913944244384766,0.6881201267242432,0.6361881375312806,0.6553491950035095,0.6643377542495728,0.6700562834739685,0.6764170169830322
fog,unique,LiDAR–4D Radar,1049,0.45721583021493956,0.146387979388237,0.7255570292472839,0.3203146576881409,0.4094194173812866,0.4632784426212311,0.514856219291687,0.5876197338104246
rain,raw,Camera–LiDAR,1317,-0.035070439625140774,-0.09402298927307129,0.024460099637508392,-0.06117813810706139,-0.045544933527708054,-0.034708715975284576,-0.024070734158158302,-0.008263775892555704
