model,mode,params_m,latency_ms,median_ms,p95_ms,fps,cuda_ms
taskdec,eager,79.468971,84.69066234305501,84.50157940387726,89.97938148677349,11.807677166926824,84.62290355682373
taskdec,optimized,79.468971,59.571751253679395,59.227731078863144,65.92638557776809,16.7864798156028,59.502436351776126
asf,eager,78.125925,83.99548216722906,82.63365644961596,93.26132386922836,11.905402221622715,83.92528869628906
asf,optimized,78.125925,59.30002771317959,59.103005565702915,64.82001468539238,16.863398527177203,59.22858924865723
