weather,feature,pair,centering,seed,pairs,matched,mismatched,gap
all,raw,C-L,uncentered,260923,8406,-0.03321101570446398,-0.03903499912173242,0.005823983417268445
all,raw,C-L,weather_centered,260923,8406,0.13878556811420922,-0.014552095008575804,0.15333766312278507
all,raw,C-R,uncentered,260923,8406,-0.41024737089766344,-0.4159682286347884,0.005720857737124935
all,raw,C-R,weather_centered,260923,8406,0.17420824863683473,-0.02035447664370166,0.19456272528053642
all,raw,L-R,uncentered,260923,8406,0.4354507228421049,0.416919845912817,0.0185308769292879
all,raw,L-R,weather_centered,260923,8406,0.37230207085742506,-0.047922799573803875,0.4202248704312289
all,shared,C-L,uncentered,260923,8406,0.9792230715379596,0.9792230362806833,3.5257276510649666e-08
all,shared,C-L,weather_centered,260923,8406,0.013259754199125074,0.00045539792867949,0.012804356270445585
all,shared,C-R,uncentered,260923,8406,0.9702258659675714,0.9702349675122516,-9.10154467997974e-06
all,shared,C-R,weather_centered,260923,8406,-0.005273051778076889,0.003396087253298426,-0.008669139031375317
all,shared,L-R,uncentered,260923,8406,0.9876875307720191,0.9871390193307045,0.0005485114413146052
all,shared,L-R,weather_centered,260923,8406,0.1449801854397311,-0.014636950719773272,0.15961713615950435
all,specific,C-L,uncentered,260923,8406,0.45373863070538567,0.4540903712811889,-0.00035174057580324847
all,specific,C-L,weather_centered,260923,8406,-0.019732969111739673,0.0017687296217844093,-0.021501698733524085
all,specific,C-R,uncentered,260923,8406,0.6733041015130807,0.6733123173690349,-8.215855954047124e-06
all,specific,C-R,weather_centered,260923,8406,-0.001635258708046832,-0.0007281836532383917,-0.0009070750548084394
all,specific,L-R,uncentered,260923,8406,0.4453457323781243,0.4447468185804507,0.0005989137976736316
all,specific,L-R,weather_centered,260923,8406,0.013133613188519556,-0.00025188516011274726,0.013385498348632304
all,raw,C-L,uncentered,260924,8268,-0.03319931787754533,-0.039017889970905266,0.005818572093359939
all,raw,C-L,weather_centered,260924,8268,0.1405498831447807,-0.012903450046764471,0.15345333319154514
all,raw,C-R,uncentered,260924,8268,-0.4102591503765118,-0.41590462430569053,0.005645473929178697
all,raw,C-R,weather_centered,260924,8268,0.17415256013207983,-0.01739692894903748,0.19154948908111727
all,raw,L-R,uncentered,260924,8268,0.43553493466308413,0.416966515069568,0.018568419593516176
all,raw,L-R,weather_centered,260924,8268,0.3737593569200768,-0.0413698541286231,0.41512921104869993
all,shared,C-L,uncentered,260924,8268,0.9792362757680246,0.9792170880699838,1.9187698041057602e-05
all,shared,C-L,weather_centered,260924,8268,0.014065459930121683,-0.00015313921927023478,0.014218599149391914
all,shared,C-R,uncentered,260924,8268,0.970207538041095,0.9702461631502408,-3.862510914572345e-05
all,shared,C-R,weather_centered,260924,8268,-0.005506281294787778,0.004477962884932501,-0.009984244179720282
all,shared,L-R,uncentered,260924,8268,0.9876773899000526,0.9871388896850041,0.0005385002150485454
all,shared,L-R,weather_centered,260924,8268,0.14979829871715364,-0.0085630120821754,0.15836131079932902
all,specific,C-L,uncentered,260924,8268,0.4538086335327061,0.45370077981394946,0.00010785371875662621
all,specific,C-L,weather_centered,260924,8268,-0.019626146628692002,0.0019228974783940616,-0.021549044107086066
all,specific,C-R,uncentered,260924,8268,0.6732248113727669,0.6733557367315048,-0.0001309253587378429
all,specific,C-R,weather_centered,260924,8268,-0.0011698429659864713,0.0005300496112812739,-0.0016998925772677466
all,specific,L-R,uncentered,260924,8268,0.44541369922986385,0.4448882977093922,0.000525401520471663
all,specific,L-R,weather_centered,260924,8268,0.013708340408247966,0.0014069820873782101,0.012301358320869754
all,raw,C-L,uncentered,260925,8326,-0.033301720028554936,-0.03871768585287107,0.00541596582431612
all,raw,C-L,weather_centered,260925,8326,0.1389664576392916,-0.005573054282093832,0.14453951192138548
all,raw,C-R,uncentered,260925,8326,-0.4104370568646777,-0.4157946705563977,0.005357613691720008
all,raw,C-R,weather_centered,260925,8326,0.174789292755781,-0.014108690247448423,0.18889798300322944
all,raw,L-R,uncentered,260925,8326,0.4354422836290627,0.41718828187350565,0.018254001755557005
all,raw,L-R,weather_centered,260925,8326,0.3736371341131685,-0.0405207112484984,0.4141578453616669
all,shared,C-L,uncentered,260925,8326,0.9792403480828764,0.9792137004901224,2.664759275403037e-05
all,shared,C-L,weather_centered,260925,8326,0.014334183250015935,7.488697700024008e-05,0.014259296273015696
all,shared,C-R,uncentered,260925,8326,0.970298604149665,0.9702692094567676,2.9394692897392237e-05
all,shared,C-R,weather_centered,260925,8326,-0.005199397765699784,0.00437237461194364,-0.009571772377643423
all,shared,L-R,uncentered,260925,8326,0.987743512367694,0.9871576995622412,0.0005858128054528769
all,shared,L-R,weather_centered,260925,8326,0.1506622794832631,-0.022599044163529678,0.17326132364679275
all,specific,C-L,uncentered,260925,8326,0.45377571348335816,0.45326923348879017,0.0005064799945679412
all,specific,C-L,weather_centered,260925,8326,-0.019596765632449564,0.0027634302335539586,-0.022360195866003525
all,specific,C-R,uncentered,260925,8326,0.6735142042939908,0.6734433129135022,7.089138048860859e-05
all,specific,C-R,weather_centered,260925,8326,-0.0017054019073788572,7.652310075444771e-05,-0.0017819250081333048
all,specific,L-R,uncentered,260925,8326,0.44549584356327127,0.44491425675168667,0.0005815868115846257
all,specific,L-R,weather_centered,260925,8326,0.01459842445027749,0.00013916832522795785,0.014459256125049532
all,raw,C-L,uncentered,260926,8374,-0.033061069553400754,-0.038766410353812834,0.005705340800412078
all,raw,C-L,weather_centered,260926,8374,0.14042515789828466,-0.009045184729852409,0.1494703426281371
all,raw,C-R,uncentered,260926,8374,-0.4100820237676798,-0.4158572601597337,0.005775236392053769
all,raw,C-R,weather_centered,260926,8374,0.17478627814493572,-0.01906969216608164,0.1938559703110174
all,raw,L-R,uncentered,260926,8374,0.43541373690468177,0.41745056150167936,0.01796317540300246
all,raw,L-R,weather_centered,260926,8374,0.37036248749238576,-0.041613929136199136,0.4119764166285849
all,shared,C-L,uncentered,260926,8374,0.9791999794126034,0.9791898961581005,1.008325450288128e-05
all,shared,C-L,weather_centered,260926,8374,0.014035253382415694,-0.0016553578560642612,0.015690611238479955
all,shared,C-R,uncentered,260926,8374,0.9701214443122467,0.9701886294884399,-6.718517619311031e-05
all,shared,C-R,weather_centered,260926,8374,-0.004245446818920199,0.00046035272266642906,-0.004705799541586626
all,shared,L-R,uncentered,260926,8374,0.9876879558944773,0.987120805202704,0.0005671506917731954
all,shared,L-R,weather_centered,260926,8374,0.15165988246353868,-0.00935368157760209,0.16101356404114078
all,specific,C-L,uncentered,260926,8374,0.45464909566346956,0.4537000364778503,0.0009490591856193265
all,specific,C-L,weather_centered,260926,8374,-0.019523096655697063,0.0014448890540601769,-0.020967985709757237
all,specific,C-R,uncentered,260926,8374,0.6731282466820556,0.6732301708822386,-0.0001019242001831284
all,specific,C-R,weather_centered,260926,8374,-0.0011407983637443024,-0.001903156487008086,0.0007623581232637832
all,specific,L-R,uncentered,260926,8374,0.4461832384967382,0.4455656921934686,0.0006175463032696251
all,specific,L-R,weather_centered,260926,8374,0.014280621554745887,0.002478777045989913,0.011801844508755972
all,raw,C-L,uncentered,260927,8302,-0.03309641877765328,-0.038713057591185235,0.0056166388135319495
all,raw,C-L,weather_centered,260927,8302,0.14133386971224635,-0.005481967455238696,0.146815837167485
all,raw,C-R,uncentered,260927,8302,-0.41015334154330507,-0.41575429147615744,0.005600949932852405
all,raw,C-R,weather_centered,260927,8302,0.174997995919979,-0.015754642938799898,0.19075263885877888
all,raw,L-R,uncentered,260927,8302,0.43570235774127347,0.4174442184999969,0.01825813924127649
all,raw,L-R,weather_centered,260927,8302,0.37350133639532673,-0.04425121976499966,0.4177525561603263
all,shared,C-L,uncentered,260927,8302,0.9792015131664005,0.9791953201266986,6.193039701957116e-06
all,shared,C-L,weather_centered,260927,8302,0.013637174959797705,0.0008195718544732299,0.012817603105324475
all,shared,C-R,uncentered,260927,8302,0.9702118795807751,0.9702644471622064,-5.2567581431173065e-05
all,shared,C-R,weather_centered,260927,8302,-0.0043241560433721704,0.0010958627804209154,-0.0054200188237930845
all,shared,L-R,uncentered,260927,8302,0.9877004387054953,0.9871505174697613,0.0005499212357337755
all,shared,L-R,weather_centered,260927,8302,0.1502712403549684,-0.015732542738589556,0.16600378309355793
all,specific,C-L,uncentered,260927,8302,0.4528983071159462,0.4528755622216282,2.2744894318035278e-05
all,specific,C-L,weather_centered,260927,8302,-0.019258829804992043,0.001861392686023272,-0.02112022249101531
all,specific,C-R,uncentered,260927,8302,0.6732862973461253,0.6734097273161337,-0.00012342997000830606
all,specific,C-R,weather_centered,260927,8302,-0.0009736851896832894,-0.0021783145295640022,0.001204629339880713
all,specific,L-R,uncentered,260927,8302,0.44459300972130283,0.4439737317205399,0.0006192780007629126
all,specific,L-R,weather_centered,260927,8302,0.013535640310093834,0.0025625054814701147,0.010973134828623717
all,raw,C-L,uncentered,260928,8386,-0.033222471964099984,-0.03877805146849993,0.005555579504399943
all,raw,C-L,weather_centered,260928,8386,0.1403474838367699,-0.003034687537855959,0.14338217137462583
all,raw,C-R,uncentered,260928,8386,-0.4101206775774501,-0.41590368421559143,0.005783006638141354
all,raw,C-R,weather_centered,260928,8386,0.1753287933986566,-0.016246922386094338,0.1915757157847509
all,raw,L-R,uncentered,260928,8386,0.4355834284299257,0.4171965601202541,0.01838686830967163
all,raw,L-R,weather_centered,260928,8386,0.37309507474994485,-0.039717163896640796,0.41281223864658567
all,shared,C-L,uncentered,260928,8386,0.9792126368953891,0.979211141597152,1.495298237340862e-06
all,shared,C-L,weather_centered,260928,8386,0.014657361044374427,-0.0015461498694626177,0.016203510913837045
all,shared,C-R,uncentered,260928,8386,0.9701559602861544,0.9702482847932574,-9.232450710312103e-05
all,shared,C-R,weather_centered,260928,8386,-0.004569196768093317,0.0023217944266561283,-0.006890991194749444
all,shared,L-R,uncentered,260928,8386,0.9876803551069747,0.9871501480025319,0.000530207104442759
all,shared,L-R,weather_centered,260928,8386,0.14794951447107296,-0.008306797042402836,0.15625631151347583
all,specific,C-L,uncentered,260928,8386,0.4533763580854543,0.4533872091934238,-1.0851107969601447e-05
all,specific,C-L,weather_centered,260928,8386,-0.01951431185817464,0.0028723713803170624,-0.0223866832384917
all,specific,C-R,uncentered,260928,8386,0.6731738708108855,0.6733848544437914,-0.00021098363290572068
all,specific,C-R,weather_centered,260928,8386,-0.001139797000718355,-0.0002354900993825381,-0.0009043069013358165
all,specific,L-R,uncentered,260928,8386,0.4449882569552557,0.444487737841044,0.0005005191142116555
all,specific,L-R,weather_centered,260928,8386,0.01293356379283936,0.0025714937926070622,0.0103620700002323
all,raw,C-L,uncentered,260929,8333,-0.03329027338183258,-0.03879067680511337,0.0055004034232807855
all,raw,C-L,weather_centered,260929,8333,0.14127531287831352,-0.005310666369384656,0.1465859792476982
all,raw,C-R,uncentered,260929,8333,-0.41018816049536716,-0.41571630875354393,0.0055281482581767205
all,raw,C-R,weather_centered,260929,8333,0.17605109295605176,-0.01413720602023349,0.19018829897628528
all,raw,L-R,uncentered,260929,8333,0.435384847252967,0.417390080932481,0.017994766320486032
all,raw,L-R,weather_centered,260929,8333,0.3748454980524911,-0.04093798089811449,0.4157834789506057
all,shared,C-L,uncentered,260929,8333,0.9791995298068176,0.9791942546673066,5.275139510974309e-06
all,shared,C-L,weather_centered,260929,8333,0.01422819575491455,-0.0006173530932283614,0.014845548848142912
all,shared,C-R,uncentered,260929,8333,0.9702097993887542,0.9702354412023502,-2.5641813595971834e-05
all,shared,C-R,weather_centered,260929,8333,-0.004824985244647768,0.0009763866459230353,-0.005801371890570802
all,shared,L-R,uncentered,260929,8333,0.9877163701504689,0.9872062523844064,0.0005101177660625192
all,shared,L-R,weather_centered,260929,8333,0.14952558338605465,-0.005987285717663779,0.15551286910371845
all,specific,C-L,uncentered,260929,8333,0.4526002993788115,0.4527280529829543,-0.0001277536041428105
all,specific,C-L,weather_centered,260929,8333,-0.02006557351091287,0.000556651541476059,-0.02062222505238893
all,specific,C-R,uncentered,260929,8333,0.6733324542627896,0.6733631052973101,-3.065103452034567e-05
all,specific,C-R,weather_centered,260929,8333,-0.0014833389377121304,-0.0004179647365123123,-0.001065374201199818
all,specific,L-R,uncentered,260929,8333,0.44428362104919017,0.44374720649621036,0.0005364145529797514
all,specific,L-R,weather_centered,260929,8333,0.013737305951340187,0.001316201606465856,0.012421104344874333
all,raw,C-L,uncentered,260930,8343,-0.03323692403555241,-0.03901473640844947,0.0057778123728970555
all,raw,C-L,weather_centered,260930,8343,0.13998131182809134,-0.012631070456751292,0.15261238228484267
all,raw,C-R,uncentered,260930,8343,-0.41020924396191166,-0.4158524875162787,0.005643243554367062
all,raw,C-R,weather_centered,260930,8343,0.17353323988852026,-0.018512121132356705,0.19204536102087694
all,raw,L-R,uncentered,260930,8343,0.43547069025946233,0.417325263338097,0.018145426921365358
all,raw,L-R,weather_centered,260930,8343,0.3749785059193127,-0.03992462344679907,0.4149031293661118
all,shared,C-L,uncentered,260930,8343,0.9791948300817921,0.9791975575446671,-2.7274628748850473e-06
all,shared,C-L,weather_centered,260930,8343,0.014204040765938328,-0.0004286762753647171,0.014632717041303048
all,shared,C-R,uncentered,260930,8343,0.9701673815754901,0.9701573766854958,1.0004889994176639e-05
all,shared,C-R,weather_centered,260930,8343,-0.004160557096795054,0.002245844784900637,-0.006406401881695692
all,shared,L-R,uncentered,260930,8343,0.987686239362791,0.9870814574403777,0.0006047819224132493
all,shared,L-R,weather_centered,260930,8343,0.148332142538085,-0.0239027201779012,0.1722348627159862
all,specific,C-L,uncentered,260930,8343,0.45424279818778074,0.45351159314242134,0.0007312050453593517
all,specific,C-L,weather_centered,260930,8343,-0.019524470300802017,0.002011753362709879,-0.0215362236635119
all,specific,C-R,uncentered,260930,8343,0.6732199011285209,0.6731769748884276,4.292624009311165e-05
all,specific,C-R,weather_centered,260930,8343,-0.000934734177853228,-0.00048072287667085147,-0.0004540113011823752
all,specific,L-R,uncentered,260930,8343,0.44579220040303263,0.44513527475305875,0.0006569256499739166
all,specific,L-R,weather_centered,260930,8343,0.0141446320919807,-0.0022998984876271447,0.016444530579607847
all,raw,C-L,uncentered,260931,8304,-0.03317817761260686,-0.03885483281911184,0.005676655206504976
all,raw,C-L,weather_centered,260931,8304,0.1399493207543938,-0.005560060697353361,0.1455093814517471
all,raw,C-R,uncentered,260931,8304,-0.4102108074087067,-0.41589522118099426,0.005684413772287554
all,raw,C-R,weather_centered,260931,8304,0.17539557333101724,-0.015469422639271565,0.19086499597028878
all,raw,L-R,uncentered,260931,8304,0.43546538385445505,0.4172517251859583,0.018213658668496724
all,raw,L-R,weather_centered,260931,8304,0.3734076759443283,-0.03748876786137218,0.4108964438057005
all,shared,C-L,uncentered,260931,8304,0.9792436900704764,0.9792127136948324,3.097637564384437e-05
all,shared,C-L,weather_centered,260931,8304,0.014486494460701153,0.0014709451413342381,0.013015549319366913
all,shared,C-R,uncentered,260931,8304,0.9702087069077887,0.9702108400454159,-2.1331376271758396e-06
all,shared,C-R,weather_centered,260931,8304,-0.004615051259019032,0.0013424912146595771,-0.005957542473678608
all,shared,L-R,uncentered,260931,8304,0.987671300954875,0.9870906469223282,0.0005806540325468034
all,shared,L-R,weather_centered,260931,8304,0.1463145380054901,-0.022516755652643085,0.16883129365813318
all,specific,C-L,uncentered,260931,8304,0.4537815358749204,0.45327697616250684,0.0005045597124136172
all,specific,C-L,weather_centered,260931,8304,-0.01935267671575036,0.0020370797697304393,-0.021389756485480808
all,specific,C-R,uncentered,260931,8304,0.6733054923414541,0.6733503469790537,-4.48546375996178e-05
all,specific,C-R,weather_centered,260931,8304,-0.0013707436648925373,-0.0009093133511139309,-0.0004614303137786067
all,specific,L-R,uncentered,260931,8304,0.44543507759138373,0.4448210332779655,0.0006140443134182032
all,specific,L-R,weather_centered,260931,8304,0.013373747454007141,-0.0013514346208120995,0.014725182074819237
all,raw,C-L,uncentered,260932,8305,-0.03322932137431864,-0.03889588770052036,0.005666566326201728
all,raw,C-L,weather_centered,260932,8305,0.14104156953065466,-0.00704837453934977,0.1480899440700044
all,raw,C-R,uncentered,260932,8305,-0.4102535145624687,-0.41579986495569593,0.005546350393227176
all,raw,C-R,weather_centered,260932,8305,0.17364806611485384,-0.016468708213176416,0.19011677432803023
all,raw,L-R,uncentered,260932,8305,0.43557630727703406,0.4171237953418598,0.018452511935174328
all,raw,L-R,weather_centered,260932,8305,0.3739526614062003,-0.043783449102985546,0.4177361105091859
all,shared,C-L,uncentered,260932,8305,0.9791925371249616,0.9791941676720577,-1.6305470960321335e-06
all,shared,C-L,weather_centered,260932,8305,0.013095024352607449,-0.0018206065655184344,0.014915630918125885
all,shared,C-R,uncentered,260932,8305,0.9701978580197402,0.9701905179038404,7.340115899821686e-06
all,shared,C-R,weather_centered,260932,8305,-0.0049828241103848135,0.0012547444270134293,-0.006237568537398244
all,shared,L-R,uncentered,260932,8305,0.9877183089713829,0.9871262286999001,0.0005920802714826593
all,shared,L-R,weather_centered,260932,8305,0.14790952204444793,-0.015289481476579847,0.16319900352102779
all,specific,C-L,uncentered,260932,8305,0.45305031793893263,0.4534862334447712,-0.0004359155058385594
all,specific,C-L,weather_centered,260932,8305,-0.019839817480623072,0.001026385352292405,-0.020866202832915477
all,specific,C-R,uncentered,260932,8305,0.6733033100507934,0.6732976512113757,5.658839417609176e-06
all,specific,C-R,weather_centered,260932,8305,-0.0016320845033240049,-0.0018111396338958703,0.00017905513057186467
all,specific,L-R,uncentered,260932,8305,0.4447281891428943,0.4440950215572676,0.0006331675856265851
all,specific,L-R,weather_centered,260932,8305,0.014527099859630022,-0.0004005094473003318,0.014927609306930354
normal,raw,C-L,uncentered,260923,4027,-0.036635413923060016,-0.045069081490273256,0.008433667567213242
normal,raw,C-L,weather_centered,260923,4027,0.22822830182070702,-0.012679757935608634,0.24090805975631568
normal,raw,C-R,uncentered,260923,4027,-0.4078415099664846,-0.4142304492914011,0.006388939324916568
normal,raw,C-R,weather_centered,260923,4027,0.22398519833011712,-0.007088850148953945,0.2310740484790711
normal,raw,L-R,uncentered,260923,4027,0.44058042609165027,0.42527679001198415,0.015303636079666094
normal,raw,L-R,weather_centered,260923,4027,0.4104242686131828,-0.013872334127610663,0.42429660274079345
normal,shared,C-L,uncentered,260923,4027,0.978953843525755,0.978941971836204,1.1871689551009728e-05
normal,shared,C-L,weather_centered,260923,4027,0.027942590137415613,-0.001058956064092196,0.029001546201507807
normal,shared,C-R,uncentered,260923,4027,0.9691949103003402,0.9692181220887452,-2.3211788405012796e-05
normal,shared,C-R,weather_centered,260923,4027,-0.0003833190731228871,0.006187754097639294,-0.0065710731707621815
normal,shared,L-R,uncentered,260923,4027,0.9881060481044781,0.9877530454829595,0.00035300262151848836
normal,shared,L-R,weather_centered,260923,4027,0.12986098744959093,-0.0007943807101159683,0.1306553681597069
normal,specific,C-L,uncentered,260923,4027,0.3786881783344215,0.37838953605913145,0.00029864227529011276
normal,specific,C-L,weather_centered,260923,4027,-0.008480223073069023,0.0005342629952069415,-0.009014486068275965
normal,specific,C-R,uncentered,260923,4027,0.6738285615847519,0.6738294681695386,-9.06584786661144e-07
normal,specific,C-R,weather_centered,260923,4027,0.0003603669727194552,0.00130209708311704,-0.0009417301103975856
normal,specific,L-R,uncentered,260923,4027,0.3772902891127304,0.37680614497764714,0.00048414413508324764
normal,specific,L-R,weather_centered,260923,4027,0.025405164549408634,0.00017366817891929583,0.02523149637048934
normal,raw,C-L,uncentered,260924,4006,-0.03678598333787187,-0.045050000077957814,0.008264016740085938
normal,raw,C-L,weather_centered,260924,4006,0.22522467060039816,-0.01861968496099511,0.24384435556139328
normal,raw,C-R,uncentered,260924,4006,-0.4080578455324709,-0.41400903673126327,0.005951191198792423
normal,raw,C-R,weather_centered,260924,4006,0.221549820772538,-0.014069516430183442,0.2356193372027214
normal,raw,L-R,uncentered,260924,4006,0.44041178561948174,0.42492514356419037,0.015486642055291301
normal,raw,L-R,weather_centered,260924,4006,0.40760123693643946,-0.03088319134842969,0.43848442828486917
normal,shared,C-L,uncentered,260924,4006,0.9789598817620643,0.9789314286995885,2.8453062475834524e-05
normal,shared,C-L,weather_centered,260924,4006,0.027210450849015768,0.0016364373613647954,0.02557401348765098
normal,shared,C-R,uncentered,260924,4006,0.9692744711338415,0.9691609514665628,0.00011351966727880125
normal,shared,C-R,weather_centered,260924,4006,0.0006478276770975133,7.022100009345961e-06,0.0006408055770881671
normal,shared,L-R,uncentered,260924,4006,0.9881288414481942,0.9877834969225159,0.00034534452567837006
normal,shared,L-R,weather_centered,260924,4006,0.12848650588724767,0.010708045358204228,0.11777846052904342
normal,specific,C-L,uncentered,260924,4006,0.37832913695762294,0.3783610988882031,-3.196193058012397e-05
normal,specific,C-L,weather_centered,260924,4006,-0.009424300626801213,-0.0003814121862896498,-0.009042888440511562
normal,specific,C-R,uncentered,260924,4006,0.6739126891007663,0.6737004484241144,0.00021224067665190615
normal,specific,C-R,weather_centered,260924,4006,0.0012859837547588822,-0.0017468188083815876,0.003032802563140469
normal,specific,L-R,uncentered,260924,4006,0.3769533233914862,0.37646536657926044,0.0004879568122256829
normal,specific,L-R,weather_centered,260924,4006,0.025062829202584642,0.006231991199298189,0.018830838003286453
normal,raw,C-L,uncentered,260925,3999,-0.036787135724795986,-0.04492811776785592,0.008140982043059937
normal,raw,C-L,weather_centered,260925,3999,0.22386644064735153,-0.009298147748833896,0.23316458839618542
normal,raw,C-R,uncentered,260925,3999,-0.40801564357356385,-0.4140122486755442,0.005996605101980422
normal,raw,C-R,weather_centered,260925,3999,0.22109566888335352,-0.0025245359407890205,0.22362020482414252
normal,raw,L-R,uncentered,260925,3999,0.4404984075969111,0.4257727830786819,0.014725624518229181
normal,raw,L-R,weather_centered,260925,3999,0.40702449889855974,-0.0074216494735088205,0.4144461483720686
