feature,pair,centering,seeds,retained_pairs_min,retained_pairs_max,matched,matched_min,matched_max,mismatched,mismatched_min,mismatched_max,gap,gap_min,gap_max
raw,C-L,uncentered,10,8268,8406,-0.033202671031002884,-0.033301720028554936,-0.033061069553400754,-0.03885842280922018,-0.03903499912173242,-0.038713057591185235,0.005655751778217302,0.00541596582431612,0.005823983417268445
raw,C-R,uncentered,10,8268,8406,-0.4102161347455742,-0.4104370568646777,-0.4100820237676798,-0.4158446641754872,-0.4159682286347884,-0.41571630875354393,0.005628529429912968,0.005357613691720008,0.005783006638141354
raw,L-R,uncentered,10,8268,8406,0.4355024692854051,0.435384847252967,0.43570235774127347,0.41722568477762173,0.416919845912817,0.41745056150167936,0.01827678450778341,0.01796317540300246,0.018568419593516176
raw,C-L,weather_centered,10,8268,8406,0.14026559353370358,0.13878556811420922,0.14133386971224635,-0.008114061112322024,-0.014552095008575804,-0.003034687537855959,0.1483796546460256,0.14338217137462583,0.15345333319154514
raw,C-R,weather_centered,10,8268,8406,0.174689114127871,0.17353323988852026,0.17605109295605176,-0.01675188113362016,-0.02035447664370166,-0.014108690247448423,0.19144099526149116,0.18889798300322944,0.19456272528053642
raw,L-R,weather_centered,10,8268,8406,0.37338418018506603,0.37036248749238576,0.3749785059193127,-0.04175304990580363,-0.047922799573803875,-0.03748876786137218,0.41513723009086967,0.4108964438057005,0.4202248704312289
shared,C-L,uncentered,10,8268,8406,0.97921444119473,0.9791925371249616,0.9792436900704764,0.9792048876301603,0.9791898961581005,0.9792230362806833,9.553564569767938e-06,-2.7274628748850473e-06,3.097637564384437e-05
shared,C-R,uncentered,10,8268,8406,0.9702005038229281,0.9701214443122467,0.970298604149665,0.9702245877400266,0.9701573766854958,0.9702692094567676,-2.4083917098486467e-05,-9.232450710312103e-05,2.9394692897392237e-05
shared,L-R,uncentered,10,8268,8406,0.9876969402186232,0.987671300954875,0.987743512367694,0.9871361664699959,0.9870814574403777,0.9872062523844064,0.0005607737486270989,0.0005101177660625192,0.0006047819224132493
shared,C-L,weather_centered,10,8268,8406,0.014000294210001199,0.013095024352607449,0.014657361044374427,-0.00034004809774214285,-0.0018206065655184344,0.0014709451413342381,0.014340342307743342,0.012804356270445585,0.016203510913837045
shared,C-R,weather_centered,10,8268,8406,-0.004770094817979681,-0.005506281294787778,-0.004160557096795054,0.002194390175241472,0.00046035272266642906,0.004477962884932501,-0.006964484993221154,-0.009984244179720282,-0.004705799541586626
shared,L-R,weather_centered,10,8268,8406,0.14874031869038057,0.1449801854397311,0.15165988246353868,-0.014688827134886073,-0.0239027201779012,-0.005987285717663779,0.16342914582526663,0.15551286910371845,0.17326132364679275
specific,C-L,uncentered,10,8268,8406,0.4535921689966765,0.4526002993788115,0.45464909566346956,0.4534026048209484,0.4527280529829543,0.4540903712811889,0.00018956417572806782,-0.0004359155058385594,0.0009490591856193265
specific,C-R,uncentered,10,8268,8406,0.6732792689802463,0.6731282466820556,0.6735142042939908,0.6733324198032372,0.6731769748884276,0.6734433129135022,-5.315082299096793e-05,-0.00021098363290572068,7.089138048860859e-05
specific,L-R,uncentered,10,8268,8406,0.4452258868531057,0.44428362104919017,0.4461832384967382,0.44463750708810845,0.44374720649621036,0.4455656921934686,0.000588379764997257,0.0005005191142116555,0.0006569256499739166
specific,C-L,weather_centered,10,8268,8406,-0.01960346576998333,-0.02006557351091287,-0.019258829804992043,0.0018265580480341722,0.000556651541476059,0.0028723713803170624,-0.021430023818017504,-0.0223866832384917,-0.02062222505238893
specific,C-R,weather_centered,10,8268,8406,-0.0013185685419340007,-0.0017054019073788572,-0.000934734177853228,-0.000805771265535026,-0.0021783145295640022,0.0005300496112812739,-0.0005127972763989746,-0.0017819250081333048,0.001204629339880713
specific,L-R,weather_centered,10,8268,8406,0.013797298906168215,0.01293356379283936,0.01459842445027749,0.000617140062328679,-0.0022998984876271447,0.0025714937926070622,0.013180158843839534,0.0103620700002323,0.016444530579607847
