weather,frames,valid_frames,sequences,fg_n,fg_mean,fg_median,fg_p05,fg_p95,bg_n,bg_mean,bg_median,bg_p05,bg_p95,fg_minus_bg_n,fg_minus_bg_mean,fg_minus_bg_median,fg_minus_bg_p05,fg_minus_bg_p95,fg_gt_bg_fraction,sequence_equal_fg_minus_bg
all,10065,10065,51,10065,0.2700910387809633,0.2698887288570404,0.18647418320178985,0.35458653569221493,10065,0.11763393900848063,0.11747301369905472,0.10464108735322952,0.13161714076995848,10065,0.15245709977248267,0.15176453441381454,0.06675680875778198,0.23743212372064587,0.9905613512170889,0.15036732728666585
normal,4309,4309,17,4309,0.2647283433100745,0.2616281509399414,0.19782480597496033,0.33858910799026487,4309,0.1222075561472589,0.12257884442806244,0.10874689966440201,0.13446921706199647,4309,0.14252078716281563,0.14022965729236603,0.07239173948764802,0.21624545007944104,0.9965189139011371,0.14008396299250964
overcast,383,383,2,383,0.24492679168676895,0.2464388608932495,0.19937002062797546,0.2868601620197296,383,0.11345626087008195,0.11368830502033234,0.10335618257522583,0.12301707193255425,383,0.131470530816687,0.13480626791715622,0.08446166589856148,0.17219799235463143,0.9921671018276762,0.13104776998301107
fog,1049,1049,6,1049,0.2992827934350595,0.29631802439689636,0.21747614443302155,0.38495497703552245,1049,0.11198594287620259,0.11097387969493866,0.10470989495515823,0.12180903404951096,1049,0.18729685055885686,0.1820734515786171,0.10377568453550338,0.27763371020555494,0.9990467111534795,0.17628535045809177
rain,1317,1317,8,1317,0.26215436927911995,0.2623457610607147,0.20603111982345582,0.3195160567760468,1317,0.11669527931632467,0.11723637580871582,0.10611656159162522,0.12601282298564911,1317,0.14545908996279527,0.14624930173158646,0.08937452435493469,0.20311239510774612,1.0,0.1525542905633846
sleet,1106,1106,7,1106,0.2826897060165138,0.29900605976581573,0.1303342767059803,0.3731667250394821,1106,0.11544853503433533,0.11463335528969765,0.09971305914223194,0.13184157386422157,1106,0.16724117098217847,0.18089503049850464,0.022944854572415352,0.26092795841395855,0.9810126582278481,0.16072020147874846
lightsnow,803,803,4,803,0.28111560703956917,0.28223296999931335,0.20983322113752365,0.360976630449295,803,0.11446032449510296,0.11475951224565506,0.10506723225116729,0.12438661009073257,803,0.1666552825444662,0.16784067451953888,0.09710434675216675,0.2405879907310009,1.0,0.16701302473734517
heavysnow,1098,1098,7,1098,0.26079172206760975,0.27413956820964813,0.1115040622651577,0.35502325445413585,1098,0.11218654964872397,0.1118696890771389,0.1032058283686638,0.12274913862347603,1098,0.14860517241888577,0.16222484782338142,0.000325359776616098,0.24783077985048294,0.9499089253187614,0.13628154917500354
