feature,modality,effective_rank,centered_total_variance,top1_fraction,top10_fraction
raw,Camera,3.087289656681385,5.027741998614944,0.671900532755934,0.9924357355296026
raw,LiDAR,3.639924469972444,12.520131145703298,0.5539787206373865,0.9959730868153346
raw,Radar,4.2326446460382146,7.414369077453544,0.4884623302175902,0.9950489060592312
shared,Camera,3.785310402046459,0.0047446052909625195,0.5333783289841851,0.9930248547993422
shared,LiDAR,2.969308857982754,1.0037446105132237,0.5802778893194068,0.9987605017390756
shared,Radar,1.7208241616145896,3.25093139311262,0.8427927018363437,0.9997862509870254
specific,Camera,1.9729111827965702,0.020674437859388904,0.8163759989458438,0.9981479234187495
specific,LiDAR,1.6859853196334802,23.760275886695066,0.8617730977190706,0.999745493672834
specific,Radar,1.3495475915430035,4.690279894076698,0.9399751900860122,0.9997823772539685
