gt_key,moderate,lidar_points,distance_m,truncation,occlusion,nearest_pedestrian_m,crowded,taskdec_xy_m,taskdec_radial_abs_m,taskdec_tangential_abs_m,taskdec_z_abs_m,taskdec_length_abs_m,taskdec_width_abs_m,taskdec_height_abs_m,taskdec_yaw_deg,taskdec_length_bias_m,taskdec_width_bias_m,taskdec_height_bias_m,taskdec_iou3d,taskdec_iou_bev,taskdec_score,concat_xy_m,concat_radial_abs_m,concat_tangential_abs_m,concat_z_abs_m,concat_length_abs_m,concat_width_abs_m,concat_height_abs_m,concat_yaw_deg,concat_length_bias_m,concat_width_bias_m,concat_height_bias_m,concat_iou3d,concat_iou_bev,concat_score,xy_error_taskdec_minus_concat
000009:0,True,227,7.998482704162598,0.0,1,0.7683285830722593,True,0.17435108125209808,0.17406263947486877,0.010024860501289368,0.02484261989593506,0.12522393465042114,0.014635622501373291,0.052491068840026855,0.8907673172870465,-0.12522393465042114,-0.014635622501373291,-0.052491068840026855,0.49327704310417175,0.5054823160171509,0.36111924052238464,0.14068566262722015,0.13772845268249512,0.02869371324777603,0.035785555839538574,0.09325391054153442,0.03243070840835571,0.0343402624130249,11.729357275792166,-0.09325391054153442,0.03243070840835571,-0.0343402624130249,0.5918036103248596,0.6116158962249756,0.5902186632156372,0.03366541862487793
000009:1,True,216,8.712349891662598,0.0,1,0.7683285830722593,True,0.19742520153522491,0.18406647443771362,0.07138795405626297,0.05113577842712402,0.03142005205154419,0.01860833168029785,0.0996633768081665,11.693246520392481,0.03142005205154419,0.01860833168029785,0.0996633768081665,0.4422532021999359,0.4629846513271332,0.3783985376358032,0.1325937956571579,0.13167443871498108,0.015587078407406807,0.07215702533721924,0.03978121280670166,0.04281651973724365,0.0996856689453125,1.4846272208379825,0.03978121280670166,0.04281651973724365,0.0996856689453125,0.5422683358192444,0.5817664861679077,0.48285409808158875,0.06483140587806702
000009:2,True,232,13.043279647827148,0.0,1,1.3337304832307255,True,0.10908789187669754,0.10661148279905319,0.023111913353204727,0.04792451858520508,0.015852510929107666,0.006213068962097168,0.017958998680114746,2.60079078073545,0.015852510929107666,0.006213068962097168,0.017958998680114746,0.6460866332054138,0.6774469614028931,0.2811671495437622,0.048716962337493896,0.04761512205004692,0.01030254177749157,0.024219751358032227,0.00039452314376831055,0.02729511260986328,0.023592829704284668,2.697712986290766,-0.00039452314376831055,0.02729511260986328,0.023592829704284668,0.8129610419273376,0.8345621228218079,0.27339261770248413,0.060370929539203644
000009:3,True,178,14.051054954528809,0.0,1,1.3337304832307255,True,0.03407297283411026,0.01937791332602501,0.028026128187775612,0.09189176559448242,0.08539164066314697,0.016468524932861328,0.03610515594482422,0.10117877989889792,0.08539164066314697,0.016468524932861328,-0.03610515594482422,0.7262387275695801,0.7984750270843506,0.37746497988700867,0.06681427359580994,0.02999298833310604,0.0597040019929409,0.0258256196975708,0.059383392333984375,0.002199113368988037,0.028907179832458496,2.0225729198681868,0.059383392333984375,0.002199113368988037,-0.028907179832458496,0.7469038367271423,0.7663323879241943,0.5328489542007446,-0.032741300761699677
000009:4,True,211,13.436497688293457,0.0,0,0.615714732523583,True,0.0917845368385315,0.0235728956758976,0.08870580792427063,0.10086846351623535,0.010429620742797852,0.015705645084381104,0.04558205604553223,5.855148702771079,0.010429620742797852,-0.015705645084381104,-0.04558205604553223,0.6141795516014099,0.675760805606842,0.42023882269859314,0.036115165799856186,0.017762351781129837,0.03144525736570358,0.0439457893371582,0.023279786109924316,0.013041913509368896,0.028227925300598145,2.209084440791553,0.023279786109924316,-0.013041913509368896,-0.028227925300598145,0.8171461820602417,0.8550320267677307,0.5319521427154541,0.05566937103867531
000009:5,True,185,13.915969848632812,0.0,1,0.615714732523583,True,0.21124282479286194,0.1845199316740036,0.10283930599689484,0.09500110149383545,0.039147377014160156,0.05923336744308472,0.03694868087768555,15.950089976245556,0.039147377014160156,0.05923336744308472,0.03694868087768555,0.4173033833503723,0.453178733587265,0.6560980677604675,0.15330052375793457,0.13031993806362152,0.08073265850543976,0.06937992572784424,0.009693682193756104,0.02657473087310791,0.047919273376464844,4.970069111829819,0.009693682193756104,0.02657473087310791,0.047919273376464844,0.5244680643081665,0.5589551329612732,0.7056189179420471,0.05794230103492737
000009:6,True,145,14.141715049743652,0.0,1,0.7171173107937125,True,0.1897163689136505,0.05017125606536865,0.18296213448047638,0.011774778366088867,0.023464202880859375,0.043187737464904785,0.13167166709899902,1.6786792706050429,0.023464202880859375,-0.043187737464904785,0.13167166709899902,0.4308387041091919,0.4565424621105194,0.4119456708431244,0.12021812796592712,0.05039706826210022,0.10914454609155655,0.0020265579223632812,0.013612151145935059,0.01412743330001831,0.1268467903137207,1.6317221748033772,-0.013612151145935059,-0.01412743330001831,0.1268467903137207,0.5731377005577087,0.6093551516532898,0.6276201009750366,0.06949824094772339
000011:0,True,372,7.64157247543335,0.0,1,8.397949631371718,False,0.07509700208902359,0.06785711646080017,0.03217095881700516,0.006293296813964844,0.08097290992736816,0.026924490928649902,0.07549393177032471,6.958923208998487,-0.08097290992736816,0.026924490928649902,-0.07549393177032471,0.7386628985404968,0.7681138515472412,0.19229482114315033,0.025539251044392586,0.005007581785321236,0.025043509900569916,0.015177488327026367,0.06978648900985718,0.025627493858337402,0.03715646266937256,11.095288503339537,-0.06978648900985718,0.025627493858337402,-0.03715646266937256,0.801859438419342,0.8175755143165588,0.587035059928894,0.049557751044631004
000011:1,True,230,12.933955192565918,0.0,1,1.2429333203955568,True,0.05318855494260788,0.05315230414271355,0.001963464543223381,0.03622734546661377,0.0019186735153198242,0.000693976879119873,0.022512316703796387,5.358713705792714,-0.0019186735153198242,0.000693976879119873,-0.022512316703796387,0.7856899499893188,0.8169951438903809,0.3036738634109497,0.05710349231958389,0.05699898302555084,0.0034532472491264343,0.0023534297943115234,0.01943296194076538,0.011195242404937744,0.0021446943283081055,0.8762399596646013,-0.01943296194076538,-0.011195242404937744,0.0021446943283081055,0.7966667413711548,0.7986320853233337,0.25692564249038696,-0.003914937376976013
000011:2,True,176,13.85554313659668,0.0,1,1.2429333203955568,True,0.12874741852283478,0.10261285305023193,0.07775925099849701,0.12170195579528809,0.07620102167129517,0.04411083459854126,0.026437044143676758,0.7575126025551051,0.07620102167129517,0.04411083459854126,0.026437044143676758,0.5584572553634644,0.6266498565673828,0.5697711706161499,0.1397770345211029,0.09014531970024109,0.10682433843612671,0.025401830673217773,0.06955701112747192,0.02464085817337036,0.012671232223510742,2.9008459999304446,0.06955701112747192,0.02464085817337036,0.012671232223510742,0.5984274744987488,0.6128847002983093,0.6642103791236877,-0.011029615998268127
000011:3,True,213,13.252396583557129,0.0,0,0.7114600511809205,True,0.16532349586486816,0.1458284854888916,0.07788395881652832,0.07774293422698975,0.017792940139770508,0.0003413558006286621,0.014196634292602539,9.94777073268604,0.017792940139770508,-0.0003413558006286621,-0.014196634292602539,0.4552263021469116,0.48615550994873047,0.415812611579895,0.10241413861513138,0.08942843973636627,0.04991200566291809,0.008391499519348145,0.02045261859893799,0.0033504366874694824,0.03077995777130127,1.3165426408109668,0.02045261859893799,-0.0033504366874694824,0.03077995777130127,0.633089005947113,0.6421989798545837,0.5105066299438477,0.06290935724973679
000011:4,True,173,13.808588027954102,0.0,1,0.7114600511809205,True,0.09869905561208725,0.0970577821135521,0.017924562096595764,0.022612571716308594,0.037700533866882324,0.057286083698272705,0.051819801330566406,13.592103769082055,0.037700533866882324,0.057286083698272705,0.051819801330566406,0.630692720413208,0.6477412581443787,0.6561070084571838,0.042653582990169525,0.035572852939367294,0.02353508397936821,0.018425703048706055,0.016232848167419434,0.03951144218444824,0.07379698753356934,3.950868283880516,0.016232848167419434,0.03951144218444824,0.07379698753356934,0.7928909659385681,0.8256964683532715,0.609031617641449,0.056045472621917725
000011:5,True,143,13.96023941040039,0.0,1,0.755087703504455,True,0.18653489649295807,0.008238784968852997,0.18635287880897522,0.0035636425018310547,0.032369792461395264,0.020105719566345215,0.12209653854370117,0.4869328373522145,0.032369792461395264,-0.020105719566345215,0.12209653854370117,0.4387913644313812,0.46382567286491394,0.3731066584587097,0.17534808814525604,0.1250922977924347,0.12287744879722595,0.02038705348968506,0.006814181804656982,0.020354270935058594,0.1571211814880371,5.133059737226668,0.006814181804656982,0.020354270935058594,0.1571211814880371,0.4985125958919525,0.5374257564544678,0.48648637533187866,0.011186808347702026
000041:1,True,364,9.916576385498047,0.0,0,0.7749530826395629,True,0.1370190531015396,0.12866710126399994,0.0471062958240509,0.010685324668884277,0.013012409210205078,0.04144054651260376,0.029774785041809082,2.957407251189492,0.013012409210205078,0.04144054651260376,0.029774785041809082,0.569355845451355,0.5773619413375854,0.16835147142410278,0.1923542469739914,0.1702060103416443,0.08961065858602524,0.015005350112915039,0.0439113974571228,0.005292236804962158,0.031487226486206055,6.606531437917185,0.0439113974571228,0.005292236804962158,0.031487226486206055,0.4517129063606262,0.45790359377861023,0.19213972985744476,-0.05533519387245178
000041:2,True,313,10.532824516296387,0.0,1,0.7749530826395629,True,0.05284454673528671,0.04876594990491867,0.020357510074973106,0.017271041870117188,0.0014365911483764648,0.05540156364440918,0.03440284729003906,0.6145531007610673,0.0014365911483764648,0.05540156364440918,-0.03440284729003906,0.7547428011894226,0.7672406435012817,0.5571447610855103,0.051266781985759735,0.013332679867744446,0.04950274899601936,0.00021564960479736328,0.01057898998260498,0.027910709381103516,0.02659153938293457,3.745511816294912,-0.01057898998260498,0.027910709381103516,-0.02659153938293457,0.7950550317764282,0.805732250213623,0.5744370818138123,0.0015777647495269775
000041:3,True,260,10.64516544342041,0.0,1,0.8025599074691693,True,0.05768444016575813,0.05767017602920532,0.001282690092921257,0.05456066131591797,0.0354914665222168,0.02783787250518799,0.05664873123168945,10.34167275107701,-0.0354914665222168,-0.02783787250518799,0.05664873123168945,0.7305371761322021,0.7727435231208801,0.4241541922092438,0.03750438988208771,0.01170550100505352,0.03563089296221733,0.029195189476013184,0.006600081920623779,0.01984584331512451,0.06966400146484375,2.063253526564783,-0.006600081920623779,-0.01984584331512451,0.06966400146484375,0.8273571133613586,0.8590231537818909,0.5082318782806396,0.020180050283670425
000041:4,True,90,28.332693099975586,0.0,0,0.6303861091523006,True,0.12766192853450775,0.10422182083129883,0.07372503727674484,0.021558284759521484,0.037220001220703125,0.06402993202209473,0.152396559715271,2.7605165757090333,-0.037220001220703125,0.06402993202209473,0.152396559715271,0.5422635078430176,0.5833678841590881,0.4970245361328125,0.03293309733271599,0.03195805102586746,0.007954353466629982,0.0609515905380249,0.0074675679206848145,0.06324952840805054,0.1008598804473877,3.5394176882789474,-0.0074675679206848145,0.06324952840805054,0.1008598804473877,0.7667552828788757,0.8214174509048462,0.69671231508255,0.09472883120179176
000041:5,True,110,28.266931533813477,0.0,0,0.6303861091523006,True,0.10670911520719528,0.010917462408542633,0.10614916682243347,0.04588770866394043,0.02331465482711792,0.016468405723571777,0.019481420516967773,1.9618215749244223,0.02331465482711792,0.016468405723571777,-0.019481420516967773,0.6495532393455505,0.6784731149673462,0.2543218731880188,0.12260372191667557,0.08036157488822937,0.0925942212343216,0.010944247245788574,0.040941059589385986,0.0055925846099853516,0.06808149814605713,2.117795774810834,0.040941059589385986,0.0055925846099853516,-0.06808149814605713,0.579574704170227,0.5973602533340454,0.5732775330543518,-0.015894606709480286
000041:6,True,37,32.926700592041016,0.0,1,17.710129237565972,False,0.18623758852481842,0.14320158958435059,0.11907036602497101,0.07702183723449707,0.009410977363586426,0.12823128700256348,0.03534209728240967,3.038741143826004,-0.009410977363586426,-0.12823128700256348,-0.03534209728240967,0.4598914384841919,0.4928377866744995,0.28532081842422485,0.09315316379070282,0.08408361673355103,0.04009313881397247,0.030688762664794922,0.026780545711517334,0.05106055736541748,0.07390379905700684,3.3416664089630674,-0.026780545711517334,-0.05106055736541748,-0.07390379905700684,0.6744278073310852,0.7013243436813354,0.3836480677127838,0.0930844247341156
000098:1,True,1069,7.095042705535889,0.0,1,0.7526871494223721,True,0.13940833508968353,0.02939649298787117,0.13627374172210693,0.01826786994934082,0.02061837911605835,0.0194016695022583,0.04421412944793701,13.005349538242939,-0.02061837911605835,-0.0194016695022583,-0.04421412944793701,0.546662449836731,0.557919442653656,0.41407516598701477,0.0317750982940197,0.002443441189825535,0.03168100863695145,0.0053678154945373535,0.027615129947662354,0.017808914184570312,0.00967705249786377,2.688007287480178,-0.027615129947662354,-0.017808914184570312,-0.00967705249786377,0.854886531829834,0.8598936796188354,0.46058374643325806,0.10763323679566383
000098:2,True,173,20.074329376220703,0.0,1,0.6017742994847562,True,0.21844585239887238,0.18104180693626404,0.12223935127258301,0.0024622082710266113,0.055447399616241455,0.010155439376831055,0.04208266735076904,7.603776395408395,-0.055447399616241455,-0.010155439376831055,0.04208266735076904,0.4134584963321686,0.4206770658493042,0.3863849937915802,0.09096328169107437,0.05178849771618843,0.07478148490190506,0.10144799947738647,0.03243112564086914,0.037982821464538574,0.08568096160888672,3.719693701232264,-0.03243112564086914,0.037982821464538574,0.08568096160888672,0.6178848147392273,0.6854376196861267,0.5850234627723694,0.127482570707798
000098:3,True,265,19.727313995361328,0.0,0,0.6017742994847562,True,0.18080000579357147,0.143846333026886,0.1095302626490593,0.09491139650344849,0.027274489402770996,0.0784040093421936,0.035573482513427734,11.070766757728528,0.027274489402770996,-0.0784040093421936,-0.035573482513427734,0.4548858404159546,0.49399781227111816,0.2216978520154953,0.1333893984556198,0.0986824780702591,0.08974689245223999,0.003869295120239258,0.04905521869659424,0.004193544387817383,0.07703256607055664,12.89336175661141,0.04905521869659424,-0.004193544387817383,-0.07703256607055664,0.5901684165000916,0.6109987497329712,0.29045411944389343,0.04741060733795166
000098:4,True,147,23.14383316040039,0.0,1,15.108993514826595,False,0.04550579562783241,0.04049991816282272,0.020749321207404137,0.03376281261444092,0.03447765111923218,0.09778118133544922,0.07455003261566162,2.3717249053078966,-0.03447765111923218,0.09778118133544922,0.07455003261566162,0.7510374188423157,0.7835692763328552,0.5981758236885071,0.050853341817855835,0.026476509869098663,0.04341723769903183,0.0482829213142395,0.06455481052398682,0.02241748571395874,0.029957056045532227,1.9817283886315105,0.06455481052398682,0.02241748571395874,0.029957056045532227,0.7597368955612183,0.8028258681297302,0.32238003611564636,-0.005347546190023422
000149:1,True,924,6.923704147338867,0.0,1,0.732968469858558,True,0.21611055731773376,0.05479835718870163,0.2090476155281067,0.0044748783111572266,0.0021238327026367188,0.021067023277282715,0.03793823719024658,4.673133467852684,-0.0021238327026367188,0.021067023277282715,0.03793823719024658,0.390307754278183,0.39627107977867126,0.3016306459903717,0.17423991858959198,0.11152386665344238,0.13387298583984375,0.05472666025161743,0.018417656421661377,0.011416375637054443,0.001953721046447754,1.5490049414888518,-0.018417656421661377,0.011416375637054443,0.001953721046447754,0.4920720160007477,0.5159736275672913,0.4189493954181671,0.041870638728141785
000149:2,True,218,16.889026641845703,0.0,0,6.828088748172349,False,0.19086043536663055,0.0781068354845047,0.17414656281471252,0.03849351406097412,0.0677991509437561,0.026235342025756836,0.07736897468566895,4.262273910985408,0.0677991509437561,0.026235342025756836,0.07736897468566895,0.4162388741970062,0.43187373876571655,0.33312302827835083,0.01680232211947441,0.0028612185269594193,0.016556914895772934,0.015744566917419434,0.08477741479873657,0.010558664798736572,0.07953047752380371,0.22978486652323993,0.08477741479873657,0.010558664798736572,0.07953047752380371,0.79217529296875,0.83135586977005,0.5782173275947571,0.17405811324715614
000149:3,True,286,10.190171241760254,0.0,1,3.286344667150157,False,0.08043936640024185,0.07920998334884644,0.014009624719619751,0.015217185020446777,0.062863290309906,0.03722041845321655,0.026998162269592285,1.7712419942370556,-0.062863290309906,-0.03722041845321655,0.026998162269592285,0.735611081123352,0.7463638782501221,0.4498910903930664,0.12603692710399628,0.11411282420158386,0.05351234972476959,0.022523999214172363,0.0260770320892334,0.007330656051635742,0.009262442588806152,2.977234835607867,-0.0260770320892334,0.007330656051635742,0.009262442588806152,0.6278690695762634,0.6416317820549011,0.546205997467041,-0.045597560703754425
000149:4,True,30,64.33406066894531,0.0,0,47.98305122355796,False,0.18519386649131775,0.1834077388048172,0.02565857395529747,0.08126401901245117,0.046585679054260254,0.006494283676147461,0.026919841766357422,5.230521527726416,-0.046585679054260254,0.006494283676147461,0.026919841766357422,0.5481147766113281,0.5913563370704651,0.5308619141578674,0.09725730121135712,0.09699723869562149,0.007107753772288561,0.08652853965759277,0.008798778057098389,0.029890358448028564,0.017305850982666016,2.8355293556397845,0.008798778057098389,0.029890358448028564,0.017305850982666016,0.6976122856140137,0.763386607170105,0.5072880387306213,0.08793656527996063
000203:0,True,18,50.1119499206543,0.0,1,,False,0.033975403755903244,0.009726861491799355,0.032553285360336304,0.012572526931762695,0.03630721569061279,0.02546536922454834,0.03420138359069824,1.0609296413124096,-0.03630721569061279,-0.02546536922454834,0.03420138359069824,0.8297748565673828,0.8443668484687805,0.6388594508171082,0.08191122114658356,0.0633704662322998,0.05190020799636841,0.01570296287536621,0.00872582197189331,0.0222623348236084,0.04761815071105957,4.951904451103255,-0.00872582197189331,-0.0222623348236084,-0.04761815071105957,0.6752920746803284,0.6921766996383667,0.7356526851654053,-0.04793581739068031
