case,condition,frames,metric,iou,AP,delta_pp
gate_mean,sleet,1106,BEV,0.5,37.55772683922579,-32.68655900414612
gate_mean,sleet,1106,BEV,0.7,15.12001512001512,-25.570656430235857
gate_mean,lightsnow,803,AP3D,0.3,45.348457861816264,-43.921183882363415
gate_mean,lightsnow,803,AP3D,0.5,34.270349742047856,-44.05578356711901
gate_mean,lightsnow,803,AP3D,0.7,10.011293054771315,-16.314188259374106
gate_mean,lightsnow,803,BEV,0.3,45.37001474153472,-44.139012867256014
gate_mean,lightsnow,803,BEV,0.5,45.37001474153472,-43.587022203070916
gate_mean,lightsnow,803,BEV,0.7,42.78015961149882,-30.59649283685667
gate_mean,heavysnow,1098,AP3D,0.3,45.368620037807176,-26.04555307052246
gate_mean,heavysnow,1098,AP3D,0.5,43.84423518404794,-16.66830499497967
gate_mean,heavysnow,1098,AP3D,0.7,18.818087237646495,-6.091543623750937
gate_mean,heavysnow,1098,BEV,0.3,45.38567493112948,-33.87396900320335
gate_mean,heavysnow,1098,BEV,0.5,45.146562664438044,-25.310818687313805
gate_mean,heavysnow,1098,BEV,0.7,30.991393799909332,-21.68613439628406
gate_shuffle_260923,all,10065,AP3D,0.3,21.377548525683803,-66.98236945320649
gate_shuffle_260923,all,10065,AP3D,0.5,17.528376816428562,-49.955385667561714
gate_shuffle_260923,all,10065,AP3D,0.7,4.735579970721005,-17.32470400528779
gate_shuffle_260923,all,10065,BEV,0.3,21.59837862790196,-67.23866228056713
gate_shuffle_260923,all,10065,BEV,0.5,21.043931438661055,-67.06271260685486
gate_shuffle_260923,all,10065,BEV,0.7,16.64460053196382,-46.0085674201528
gate_shuffle_260923,normal,4309,AP3D,0.3,26.047521415266665,-61.606482700994015
gate_shuffle_260923,normal,4309,AP3D,0.5,20.633213753610953,-45.36085809568012
gate_shuffle_260923,normal,4309,AP3D,0.7,4.0494682535247986,-15.557001838984666
gate_shuffle_260923,normal,4309,BEV,0.3,26.290716998877283,-62.14440048278618
gate_shuffle_260923,normal,4309,BEV,0.5,25.619800058801967,-61.77432283431895
gate_shuffle_260923,normal,4309,BEV,0.7,18.8597252439122,-40.921523438832565
gate_shuffle_260923,overcast,383,AP3D,0.3,27.244947024495445,-63.153323624070396
gate_shuffle_260923,overcast,383,AP3D,0.5,23.52840296334785,-56.69506425858143
gate_shuffle_260923,overcast,383,AP3D,0.7,11.876310108154167,-10.504166057341992
gate_shuffle_260923,overcast,383,BEV,0.3,27.676514224375097,-62.80749119740712
gate_shuffle_260923,overcast,383,BEV,0.5,27.23213377373345,-63.08354843966127
gate_shuffle_260923,overcast,383,BEV,0.7,21.571923925786464,-55.78435910417686
gate_shuffle_260923,fog,1049,AP3D,0.3,21.354766544143516,-69.17987598504415
gate_shuffle_260923,fog,1049,AP3D,0.5,20.512394573812635,-59.20322199247264
gate_shuffle_260923,fog,1049,AP3D,0.7,8.697097660299063,-37.144381323502266
gate_shuffle_260923,fog,1049,BEV,0.3,21.49816967182061,-78.01208799746584
gate_shuffle_260923,fog,1049,BEV,0.5,21.33850715461528,-69.19999132888015
gate_shuffle_260923,fog,1049,BEV,0.7,13.698801247881487,-61.50970083158775
gate_shuffle_260923,rain,1317,AP3D,0.3,21.205917182929003,-67.68671384276766
gate_shuffle_260923,rain,1317,AP3D,0.5,17.283331197823788,-57.6091171211627
gate_shuffle_260923,rain,1317,AP3D,0.7,6.240898135624994,-16.597985291599226
gate_shuffle_260923,rain,1317,BEV,0.3,21.451794965775168,-67.77553607641524
gate_shuffle_260923,rain,1317,BEV,0.5,21.126974423374513,-67.8868384556873
gate_shuffle_260923,rain,1317,BEV,0.7,17.397546592776234,-57.0620350543829
gate_shuffle_260923,sleet,1106,AP3D,0.3,14.987441346125873,-65.44286523151334
gate_shuffle_260923,sleet,1106,AP3D,0.5,11.786271915924283,-45.51928265275771
gate_shuffle_260923,sleet,1106,AP3D,0.7,4.813687110337828,-9.359872656723429
gate_shuffle_260923,sleet,1106,BEV,0.3,16.94507705786372,-63.77776725253286
gate_shuffle_260923,sleet,1106,BEV,0.5,13.993490703756637,-56.25079513961528
gate_shuffle_260923,sleet,1106,BEV,0.7,10.630471399702168,-30.06020015054881
gate_shuffle_260923,lightsnow,803,AP3D,0.3,15.191341321994587,-74.0783004221851
gate_shuffle_260923,lightsnow,803,AP3D,0.5,14.383791661877002,-63.942341647289865
gate_shuffle_260923,lightsnow,803,AP3D,0.7,5.820824804327372,-20.504656509818048
gate_shuffle_260923,lightsnow,803,BEV,0.3,15.343610430773664,-74.16541717801707
gate_shuffle_260923,lightsnow,803,BEV,0.5,15.115952194597368,-73.84108475000826
gate_shuffle_260923,lightsnow,803,BEV,0.7,14.452600826572674,-58.92405162178281
gate_shuffle_260923,heavysnow,1098,AP3D,0.3,15.724838815296632,-55.689334293033
gate_shuffle_260923,heavysnow,1098,AP3D,0.5,15.28721051290465,-45.22532966612296
gate_shuffle_260923,heavysnow,1098,AP3D,0.7,10.681042649050866,-14.228588212346565
gate_shuffle_260923,heavysnow,1098,BEV,0.3,15.79117127345705,-63.468472660875776
gate_shuffle_260923,heavysnow,1098,BEV,0.5,15.635361518475438,-54.822019833276414
gate_shuffle_260923,heavysnow,1098,BEV,0.7,12.944910424462245,-39.73261777173115
gate_shuffle_260924,all,10065,AP3D,0.3,21.251410821298524,-67.10850715759177
gate_shuffle_260924,all,10065,AP3D,0.5,17.469190503040288,-50.01457198094999
gate_shuffle_260924,all,10065,AP3D,0.7,6.2176218426479135,-15.84266213336088
gate_shuffle_260924,all,10065,BEV,0.3,21.524040688746645,-67.31300021972243
gate_shuffle_260924,all,10065,BEV,0.5,20.986438637277676,-67.12020540823823
gate_shuffle_260924,all,10065,BEV,0.7,16.599771077936154,-46.05339687418047
gate_shuffle_260924,normal,4309,AP3D,0.3,25.52796231911252,-62.12604179714816
gate_shuffle_260924,normal,4309,AP3D,0.5,20.298716381291772,-45.695355467999306
gate_shuffle_260924,normal,4309,AP3D,0.7,5.605673099279238,-14.000796993230228
gate_shuffle_260924,normal,4309,BEV,0.3,25.85172803181485,-62.58338944984862
gate_shuffle_260924,normal,4309,BEV,0.5,25.218853256709554,-62.17526963641137
gate_shuffle_260924,normal,4309,BEV,0.7,18.57377766594852,-41.20747101679625
gate_shuffle_260924,overcast,383,AP3D,0.3,28.15601419488899,-62.24225645367685
gate_shuffle_260924,overcast,383,AP3D,0.5,26.200190238844467,-54.02327698308481
gate_shuffle_260924,overcast,383,AP3D,0.7,11.568864374262102,-10.811611791234057
gate_shuffle_260924,overcast,383,BEV,0.3,28.246880992579033,-62.23712442920318
gate_shuffle_260924,overcast,383,BEV,0.5,28.058984863676745,-62.25669734971798
gate_shuffle_260924,overcast,383,BEV,0.7,20.827862988179415,-56.5284200417839
gate_shuffle_260924,fog,1049,AP3D,0.3,21.252095634568402,-69.28254689461926
gate_shuffle_260924,fog,1049,AP3D,0.5,20.209087648421082,-59.506528917864195
gate_shuffle_260924,fog,1049,AP3D,0.7,13.276205826936366,-32.56527315686496
gate_shuffle_260924,fog,1049,BEV,0.3,21.34756146563298,-78.16269620365347
gate_shuffle_260924,fog,1049,BEV,0.5,21.097130539017847,-69.44136794447758
gate_shuffle_260924,fog,1049,BEV,0.7,19.889791017398252,-55.31871106207099
gate_shuffle_260924,rain,1317,AP3D,0.3,21.127398171401175,-67.76523285429548
gate_shuffle_260924,rain,1317,AP3D,0.5,16.461144331325265,-58.43130398766122
gate_shuffle_260924,rain,1317,AP3D,0.7,6.195835912805044,-16.643047514419177
gate_shuffle_260924,rain,1317,BEV,0.3,21.41419828218357,-67.81313276000682
gate_shuffle_260924,rain,1317,BEV,0.5,21.07109649409957,-67.94271638496224
gate_shuffle_260924,rain,1317,BEV,0.7,16.445150672888474,-58.01443097427067
gate_shuffle_260924,sleet,1106,AP3D,0.3,14.86835557340798,-65.56195100423123
gate_shuffle_260924,sleet,1106,AP3D,0.5,10.881711307175348,-46.42384326150665
gate_shuffle_260924,sleet,1106,AP3D,0.7,0.5023923444976076,-13.671167422563649
gate_shuffle_260924,sleet,1106,BEV,0.3,16.70661843978426,-64.01622587061232
gate_shuffle_260924,sleet,1106,BEV,0.5,12.80235025297862,-57.44193559039329
gate_shuffle_260924,sleet,1106,BEV,0.7,10.591823154331205,-30.09884839591977
gate_shuffle_260924,lightsnow,803,AP3D,0.3,15.30212874280078,-73.9675130013789
gate_shuffle_260924,lightsnow,803,AP3D,0.5,14.406885291122965,-63.9192480180439
gate_shuffle_260924,lightsnow,803,AP3D,0.7,2.4478753673212372,-23.877605946824183
gate_shuffle_260924,lightsnow,803,BEV,0.3,15.444455294079356,-74.06457231471137
gate_shuffle_260924,lightsnow,803,BEV,0.5,15.191213444488556,-73.76582350011708
gate_shuffle_260924,lightsnow,803,BEV,0.7,10.058675869418611,-63.31797657893688
gate_shuffle_260924,heavysnow,1098,AP3D,0.3,15.56625856009356,-55.847914548236076
gate_shuffle_260924,heavysnow,1098,AP3D,0.5,15.119758967678953,-45.392781211348655
gate_shuffle_260924,heavysnow,1098,AP3D,0.7,6.163626023034322,-18.74600483836311
gate_shuffle_260924,heavysnow,1098,BEV,0.3,15.661965865655105,-63.59767806867772
gate_shuffle_260924,heavysnow,1098,BEV,0.5,15.458199704422295,-54.99918164732955
gate_shuffle_260924,heavysnow,1098,BEV,0.7,12.917901294980208,-39.75962690121318
gate_shuffle_260925,all,10065,AP3D,0.3,21.244814099362177,-67.11510387952812
gate_shuffle_260925,all,10065,AP3D,0.5,12.910668810045978,-54.5730936739443
gate_shuffle_260925,all,10065,AP3D,0.7,3.9611532346565754,-18.09913074135222
gate_shuffle_260925,all,10065,BEV,0.3,21.499788633553685,-67.33725227491539
gate_shuffle_260925,all,10065,BEV,0.5,20.985031637477906,-67.121612408038
gate_shuffle_260925,all,10065,BEV,0.7,16.602975598450644,-46.05019235366598
gate_shuffle_260925,normal,4309,AP3D,0.3,25.480415512975846,-62.173588603284834
gate_shuffle_260925,normal,4309,AP3D,0.5,20.309302988645832,-45.68476886064524
gate_shuffle_260925,normal,4309,AP3D,0.7,3.3334884153717317,-16.272981677137732
gate_shuffle_260925,normal,4309,BEV,0.3,25.797808731454836,-62.63730875020863
gate_shuffle_260925,normal,4309,BEV,0.5,25.22921060603849,-62.16491228708243
gate_shuffle_260925,normal,4309,BEV,0.7,18.549110511570362,-41.232138171174405
gate_shuffle_260925,overcast,383,AP3D,0.3,28.109089307109254,-62.28918134145658
gate_shuffle_260925,overcast,383,AP3D,0.5,26.508992375602386,-53.714474846326894
gate_shuffle_260925,overcast,383,AP3D,0.7,11.703877493351177,-10.676598672144982
gate_shuffle_260925,overcast,383,BEV,0.3,28.458454249423415,-62.0255511723588
gate_shuffle_260925,overcast,383,BEV,0.5,28.08002604139748,-62.23565617199724
gate_shuffle_260925,overcast,383,BEV,0.7,21.36352487135146,-55.99275815861186
gate_shuffle_260925,fog,1049,AP3D,0.3,21.401880405065814,-69.13276212412185
gate_shuffle_260925,fog,1049,AP3D,0.5,20.451972032527063,-59.26364453375821
gate_shuffle_260925,fog,1049,AP3D,0.7,13.239355114364562,-32.60212386943677
gate_shuffle_260925,fog,1049,BEV,0.3,21.508877876278788,-78.00137979300766
gate_shuffle_260925,fog,1049,BEV,0.5,21.36243574174986,-69.17606274174557
gate_shuffle_260925,fog,1049,BEV,0.7,18.575024211065468,-56.63347786840377
gate_shuffle_260925,rain,1317,AP3D,0.3,21.083804835248046,-67.80882619044861
gate_shuffle_260925,rain,1317,AP3D,0.5,15.604294599185481,-59.288153719801
gate_shuffle_260925,rain,1317,AP3D,0.7,2.943506712491697,-19.895376714732524
gate_shuffle_260925,rain,1317,BEV,0.3,21.407117927713315,-67.82021311447708
gate_shuffle_260925,rain,1317,BEV,0.5,21.027522510953702,-67.9862903681081
gate_shuffle_260925,rain,1317,BEV,0.7,17.396120104481007,-57.063461542678134
gate_shuffle_260925,sleet,1106,AP3D,0.3,14.936147252142131,-65.49415932549708
gate_shuffle_260925,sleet,1106,AP3D,0.5,11.80171891203269,-45.5038356566493
gate_shuffle_260925,sleet,1106,AP3D,0.7,3.3045565836751565,-10.8690031833861
gate_shuffle_260925,sleet,1106,BEV,0.3,16.880190674275998,-63.84265363612059
gate_shuffle_260925,sleet,1106,BEV,0.5,14.030786378777663,-56.21349946459425
gate_shuffle_260925,sleet,1106,BEV,0.7,4.571341862686052,-36.11932968756492
gate_shuffle_260925,lightsnow,803,AP3D,0.3,15.402519167579404,-73.86712257660028
gate_shuffle_260925,lightsnow,803,AP3D,0.5,14.466780699800072,-63.859352609366795
gate_shuffle_260925,lightsnow,803,AP3D,0.7,9.770462096043492,-16.55501921810193
gate_shuffle_260925,lightsnow,803,BEV,0.3,15.431164901664143,-74.07786270712658
gate_shuffle_260925,lightsnow,803,BEV,0.5,15.250869349230003,-73.70616759537563
gate_shuffle_260925,lightsnow,803,BEV,0.7,14.522029879500217,-58.85462256885527
gate_shuffle_260925,heavysnow,1098,AP3D,0.3,15.644683719225972,-55.76948938910366
gate_shuffle_260925,heavysnow,1098,AP3D,0.5,15.043819337114645,-45.46872084191297
gate_shuffle_260925,heavysnow,1098,AP3D,0.7,10.6597874277477,-14.249843433649731
gate_shuffle_260925,heavysnow,1098,BEV,0.3,15.739132940838743,-63.520510993494085
gate_shuffle_260925,heavysnow,1098,BEV,0.5,15.467891905514778,-54.98948944623707
gate_shuffle_260925,heavysnow,1098,BEV,0.7,12.84121511673891,-39.836313079454484
no_query,all,10065,AP3D,0.3,88.34919693786631,-0.010721041023984412
no_query,all,10065,AP3D,0.5,67.47112118640949,-0.012641297580785249
no_query,all,10065,AP3D,0.7,22.106820095648676,0.04653611963988169
no_query,all,10065,BEV,0.3,88.83418961735322,-0.002851291115860022
no_query,all,10065,BEV,0.5,88.09890123968967,-0.007742805826239874
no_query,all,10065,BEV,0.7,62.731966727476454,0.07879877535982871
no_query,normal,4309,AP3D,0.3,87.63322035141518,-0.020783764845504038
no_query,normal,4309,AP3D,0.5,65.95267030799305,-0.04140154129802909
no_query,normal,4309,AP3D,0.7,19.624043724323244,0.01757363181377869
no_query,normal,4309,BEV,0.3,88.4239668570583,-0.011150624605164694
no_query,normal,4309,BEV,0.5,87.38456092159687,-0.00956197152405025
no_query,normal,4309,BEV,0.7,59.82082529057029,0.039576607825523524
no_query,overcast,383,AP3D,0.3,90.39827064856584,0.0
no_query,overcast,383,AP3D,0.5,80.2031231159074,-0.020344106021880748
no_query,overcast,383,AP3D,0.7,21.925867760088007,-0.45460840540815184
no_query,overcast,383,BEV,0.3,90.48400542178221,0.0
no_query,overcast,383,BEV,0.5,90.31568221339472,0.0
no_query,overcast,383,BEV,0.7,77.30449643691126,-0.05178659305205713
no_query,fog,1049,AP3D,0.3,90.53464252918766,0.0
no_query,fog,1049,AP3D,0.5,79.75228965866765,0.036673092382372374
no_query,fog,1049,AP3D,0.7,45.8193140692794,-0.022164914521930257
no_query,fog,1049,BEV,0.3,99.50999407324423,-0.0002635960422168182
no_query,fog,1049,BEV,0.5,90.53459073699202,-0.00390774650341541
no_query,fog,1049,BEV,0.7,75.15347274030545,-0.055029339163795044
no_query,rain,1317,AP3D,0.3,88.90636232782317,0.013731302126515743
no_query,rain,1317,AP3D,0.5,74.85488904628951,-0.03755927269696713
no_query,rain,1317,AP3D,0.7,22.88442086626808,0.04553743904385854
no_query,rain,1317,BEV,0.3,89.2249336505525,-0.0023973916378992044
no_query,rain,1317,BEV,0.5,89.0228854585445,0.009072579482690912
no_query,rain,1317,BEV,0.7,74.52230796161085,0.06272631445170873
no_query,sleet,1106,AP3D,0.3,80.43030657763921,0.0
no_query,sleet,1106,AP3D,0.5,57.455083342861826,0.149528774179835
no_query,sleet,1106,AP3D,0.7,14.173559767061256,0.0
no_query,sleet,1106,BEV,0.3,80.72284431039658,0.0
no_query,sleet,1106,BEV,0.5,70.27710130487105,0.0328154614991405
no_query,sleet,1106,BEV,0.7,40.57415339750233,-0.11651815274864674
no_query,lightsnow,803,AP3D,0.3,89.26290119849725,-0.006740545682433208
no_query,lightsnow,803,AP3D,0.5,78.33254047445365,0.006407165286788086
no_query,lightsnow,803,AP3D,0.7,26.31058279501571,-0.014898519129712184
no_query,lightsnow,803,BEV,0.3,89.5090603345057,3.2725714973480535e-05
no_query,lightsnow,803,BEV,0.5,88.86838446306172,-0.08865248154391736
no_query,lightsnow,803,BEV,0.7,73.28131989862659,-0.09533254972889438
no_query,heavysnow,1098,AP3D,0.3,71.40064718233029,-0.0135259259993461
no_query,heavysnow,1098,AP3D,0.5,60.52691741985539,0.014377240827776916
no_query,heavysnow,1098,AP3D,0.7,25.23472003929241,0.32508917789497715
no_query,heavysnow,1098,BEV,0.3,79.25219319797637,-0.007450736356460652
no_query,heavysnow,1098,BEV,0.5,70.44724250371073,-0.010138848041123083
no_query,heavysnow,1098,BEV,0.7,53.00438255811307,0.3268543619196791
no_output,all,10065,AP3D,0.3,88.3599179788903,0.0
no_output,all,10065,AP3D,0.5,67.4832560035943,-0.0005064803959697883
no_output,all,10065,AP3D,0.7,22.056451557765154,-0.003832418243639779
no_output,all,10065,BEV,0.3,88.83583775339336,-0.001203155075714335
no_output,all,10065,BEV,0.5,88.1066440455159,0.0
no_output,all,10065,BEV,0.7,62.65158726275604,-0.0015806893605869732
no_output,normal,4309,AP3D,0.3,87.65318988347154,-0.0008142327891391687
no_output,normal,4309,AP3D,0.5,65.99407184929107,0.0
no_output,normal,4309,AP3D,0.7,19.60564805049006,-0.0008220420194042788
no_output,normal,4309,BEV,0.3,88.43511748166347,0.0
no_output,normal,4309,BEV,0.5,87.39332087084543,-0.0008020222754936412
no_output,normal,4309,BEV,0.7,59.780623464736216,-0.0006252180085510872
no_output,overcast,383,AP3D,0.3,90.39827064856584,0.0
no_output,overcast,383,AP3D,0.5,80.22346722192928,0.0
no_output,overcast,383,AP3D,0.7,22.33607552534627,-0.044400640149888204
no_output,overcast,383,BEV,0.3,90.48400542178221,0.0
no_output,overcast,383,BEV,0.5,90.31568221339472,0.0
no_output,overcast,383,BEV,0.7,77.35628302996332,0.0
no_output,fog,1049,AP3D,0.3,90.53464252918766,0.0
no_output,fog,1049,AP3D,0.5,79.71561656628528,0.0
no_output,fog,1049,AP3D,0.7,45.84147898380133,0.0
no_output,fog,1049,BEV,0.3,99.51631598499034,0.006058315703896255
no_output,fog,1049,BEV,0.5,90.53849848349543,0.0
no_output,fog,1049,BEV,0.7,75.20850207946924,0.0
no_output,rain,1317,AP3D,0.3,88.89263102569666,0.0
no_output,rain,1317,AP3D,0.5,74.89244831898648,0.0
no_output,rain,1317,AP3D,0.7,22.83888342722422,0.0
no_output,rain,1317,BEV,0.3,89.2273310421904,0.0
no_output,rain,1317,BEV,0.5,89.0138128790618,0.0
no_output,rain,1317,BEV,0.7,74.45958164715914,0.0
no_output,sleet,1106,AP3D,0.3,80.43030657763921,0.0
no_output,sleet,1106,AP3D,0.5,57.30555456868199,0.0
no_output,sleet,1106,AP3D,0.7,14.173559767061256,0.0
no_output,sleet,1106,BEV,0.3,80.72284431039658,0.0
no_output,sleet,1106,BEV,0.5,70.24428584337191,0.0
no_output,sleet,1106,BEV,0.7,40.69873610501569,0.008064554764715126
no_output,lightsnow,803,AP3D,0.3,89.26964174417968,0.0
no_output,lightsnow,803,AP3D,0.5,78.32613330916686,0.0
no_output,lightsnow,803,AP3D,0.7,26.32548131414542,0.0
no_output,lightsnow,803,BEV,0.3,89.50902760879073,0.0
no_output,lightsnow,803,BEV,0.5,88.95703694460563,0.0
no_output,lightsnow,803,BEV,0.7,73.37665244835549,0.0
no_output,heavysnow,1098,AP3D,0.3,71.41417310832963,0.0
no_output,heavysnow,1098,AP3D,0.5,60.51254017902761,0.0
no_output,heavysnow,1098,AP3D,0.7,24.90963086139743,0.0
no_output,heavysnow,1098,BEV,0.3,79.25964393433283,0.0
no_output,heavysnow,1098,BEV,0.5,70.45738135175185,0.0
no_output,heavysnow,1098,BEV,0.7,52.67752819619339,0.0
no_query_output,all,10065,AP3D,0.3,88.34528926471786,-0.0146287141724315
no_query_output,all,10065,AP3D,0.5,67.47423416394165,-0.00952832004863069
no_query_output,all,10065,AP3D,0.7,22.109602086931915,0.049318110923120884
no_query_output,all,10065,BEV,0.3,88.83418961735322,-0.002851291115860022
no_query_output,all,10065,BEV,0.5,88.0979708333962,-0.008673212119703066
no_query_output,all,10065,BEV,0.7,62.731966727476454,0.07879877535982871
no_query_output,normal,4309,AP3D,0.3,87.63322035141518,-0.020783764845504038
no_query_output,normal,4309,AP3D,0.5,65.95754013204517,-0.0365317172459072
no_query_output,normal,4309,AP3D,0.7,19.626322567588485,0.019852475079019882
no_query_output,normal,4309,BEV,0.3,88.4239668570583,-0.011150624605164694
no_query_output,normal,4309,BEV,0.5,87.38456092159687,-0.00956197152405025
no_query_output,normal,4309,BEV,0.7,59.81916544002598,0.03791675728120936
no_query_output,overcast,383,AP3D,0.3,90.39827064856584,0.0
no_query_output,overcast,383,AP3D,0.5,80.2031231159074,-0.020344106021880748
no_query_output,overcast,383,AP3D,0.7,21.925867760088007,-0.45460840540815184
no_query_output,overcast,383,BEV,0.3,90.48400542178221,0.0
no_query_output,overcast,383,BEV,0.5,90.31568221339472,0.0
