case,condition,frames,metric,iou,AP,delta_pp
no_query_output,rain,1317,BEV,0.7,74.52230796161085,0.06272631445170873
no_query_output,sleet,1106,AP3D,0.3,80.43030657763921,0.0
no_query_output,sleet,1106,AP3D,0.5,57.455083342861826,0.149528774179835
no_query_output,sleet,1106,AP3D,0.7,14.173559767061256,0.0
no_query_output,sleet,1106,BEV,0.3,80.72284431039658,0.0
no_query_output,sleet,1106,BEV,0.5,70.27710130487105,0.0328154614991405
no_query_output,sleet,1106,BEV,0.7,40.57415339750233,-0.11651815274864674
no_query_output,lightsnow,803,AP3D,0.3,89.26290119849725,-0.006740545682433208
no_query_output,lightsnow,803,AP3D,0.5,78.33254047445365,0.006407165286788086
no_query_output,lightsnow,803,AP3D,0.7,26.31058279501571,-0.014898519129712184
no_query_output,lightsnow,803,BEV,0.3,89.5090603345057,3.2725714973480535e-05
no_query_output,lightsnow,803,BEV,0.5,88.87551493164163,-0.08152201296400108
no_query_output,lightsnow,803,BEV,0.7,73.28131989862659,-0.09533254972889438
no_query_output,heavysnow,1098,AP3D,0.3,71.40064718233029,-0.0135259259993461
no_query_output,heavysnow,1098,AP3D,0.5,60.52691741985539,0.014377240827776916
no_query_output,heavysnow,1098,AP3D,0.7,25.268595027655966,0.35896416625853433
no_query_output,heavysnow,1098,BEV,0.3,79.25219319797637,-0.007450736356460652
no_query_output,heavysnow,1098,BEV,0.5,70.44724250371073,-0.010138848041123083
no_query_output,heavysnow,1098,BEV,0.7,53.00438255811307,0.3268543619196791
