epoch,Vehicle,Pedestrian,Cyclist,Mean
1,-0.5502699715442408,-0.30857049074227993,-5.7080671227568285,-2.1889691950144496
5,-1.2146690922839056,-6.617186381623528,-8.78809717471502,-5.539984216207479
10,4.373493779418766,-0.4844014531290739,0.07724931031933124,1.322113878869672
15,-13.34465250398953,-4.3208816609473715,-3.4165573936450357,-7.027363852860631
20,0.6822259858359843,-2.375842875924704,-0.06823104323304108,-0.5872826444405774
25,-2.0422363549285905,-4.087343368083076,-1.232992205238503,-2.4541906427500493
30,0.8393662532089081,-3.015232839450448,0.05410866870074926,-0.7072526391802612
35,-6.31394766806369,-7.452910983397665,-3.650304712821736,-5.805721121427709
40,-1.2469177751159322,-3.414418928818769,-0.578568070619113,-1.7466349248512785
45,3.05631667972807,0.5744267372152052,0.39372764403472615,1.3414903536593243
50,0.13201215362599328,-2.15677569243298,-0.9306104145692871,-0.9851246511254317
55,0.8843843257968018,-2.5822458748068087,-0.894549273823074,-0.8641369409443627
60,-1.5804729920678255,-1.1881600167111728,-1.0277747275627434,-1.2654692454472638
65,-0.1593470693137249,-0.7854909394640828,-0.8771717238078764,-0.6073365775285566
