epoch,concat,taskdec4,taskdec2,l4dr,l4dr_minus_concat,l4dr_minus_taskdec2
1,2.2069707404631376,1.2394475666187483,0.01800154544868793,17.736400330385543,15.529429589922405,17.718398784936856
5,33.23868397560697,32.444691390259976,27.69869975939949,44.73989337459716,11.501209398990191,17.04119361519767
10,42.364753510919094,37.81324404572994,43.686867389788766,56.71596882244679,14.351215311527696,13.029101432658024
15,54.65216041117478,36.08891971137182,47.62479655831415,60.399565102399286,5.747404691224503,12.774768544085134
20,54.662208930503745,36.53626891104082,54.07492628606317,63.094220356627886,8.432011426124141,9.019294070564719
25,59.05555969104328,44.73686462086533,56.60136904829323,62.9686633924754,3.913103701432121,6.36729434418217
30,60.94761353750848,54.19112077327415,60.24036089832822,68.41515698828977,7.467543450781285,8.174796089961546
35,67.10350503695103,62.0203619740513,61.297783915523326,71.08793578571193,3.9844307487609,9.790151870188609
