run,epoch,fg_gate_bias,fg_gate_bias_sigmoid,fg_gate_last_weight_norm,fg_gate_all_norm,class_head_last_weight_norm,class_head_all_norm,class_context_norm,patch_common_norm,patch_unique_norm,patch_dec_res_scale,score_cam_bev_feat_last_weight_norm,score_cam_bev_feat_last_bias,score_cam_bev_feat_all_norm,score_spatial_features_2d_last_weight_norm,score_spatial_features_2d_last_bias,score_spatial_features_2d_all_norm,score_bev_feat_last_weight_norm,score_bev_feat_last_bias,score_bev_feat_all_norm,path
MoreOpenGate,0,-0.8680871725082397,0.29565247743580275,0.29358163475990295,23.8104305267334,0.0,23.06593132019043,1.094476580619812,47.739776611328125,47.54718780517578,0.07999999821186066,0.10513679683208466,-0.03806888684630394,31.2252140045166,0.1900147646665573,0.02228390797972679,32.35579299926758,0.13219624757766724,0.02719167247414589,31.65298080444336,/home/hongsheng/dec_con_asf/logs/exp_260813_225556_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_0.pt
MoreOpenGate,1,-0.8272174596786499,0.3042337449469931,0.3552438020706177,23.752042770385742,0.0,22.37612533569336,1.6284362077713013,50.6976318359375,51.20308303833008,0.07999999821186066,0.16547253727912903,-0.07779264450073242,31.371854782104492,0.2700004577636719,0.04487542062997818,32.33071517944336,0.19643589854240417,0.010377940721809864,30.960678100585938,/home/hongsheng/dec_con_asf/logs/exp_260813_225556_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_1.pt
MoreOpenGate,2,-0.7790638208389282,0.3145216891697143,0.38818755745887756,24.292924880981445,0.0,21.706401824951172,2.029752254486084,52.737266540527344,53.94076156616211,0.07999999821186066,0.1894485205411911,-0.08266879618167877,29.97446632385254,0.3008805811405182,0.06087658926844597,32.317352294921875,0.21083994209766388,-0.0055377590470016,30.12321662902832,/home/hongsheng/dec_con_asf/logs/exp_260813_225556_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_2.pt
MoreOpenGate,4,-0.6972466111183167,0.3324229720335382,0.4962364137172699,25.0771484375,0.0,20.426544189453125,2.215714454650879,59.0746955871582,61.31105041503906,0.07999999821186066,0.24721670150756836,-0.1042078509926796,29.562219619750977,0.32180511951446533,0.06955479085445404,33.211181640625,0.26695284247398376,-0.01086632814258337,30.50080680847168,/home/hongsheng/dec_con_asf/logs/exp_260813_225556_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_4.pt
MoreOpenGate,7,-0.5780798196792603,0.3593745467099477,0.5838149785995483,25.78871726989746,0.0,18.64674949645996,2.044658660888672,68.20320892333984,71.1578140258789,0.07999999821186066,0.29684528708457947,-0.11507602035999298,29.313304901123047,0.4813721776008606,0.083582304418087,35.341285705566406,0.33629998564720154,-0.019639134407043457,31.591638565063477,/home/hongsheng/dec_con_asf/logs/exp_260813_225556_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_7.pt
MoreOpenGate,10,-0.47498050332069397,0.38343810474297857,0.7819350361824036,26.967710494995117,0.0,17.02186393737793,2.1996588706970215,74.77960205078125,78.0174789428711,0.07999999821186066,0.32970282435417175,-0.14475439488887787,28.263357162475586,0.5104312896728516,0.10656390339136124,35.85380554199219,0.35192763805389404,-0.0013211502227932215,32.1908073425293,/home/hongsheng/dec_con_asf/logs/exp_260813_225556_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_10.pt
StrongerControl,0,-1.1600983142852783,0.23864942139800874,0.25604328513145447,23.94425392150879,0.0,23.06593132019043,1.2200467586517334,48.01083755493164,47.8754997253418,0.07999999821186066,0.14942680299282074,-0.014910922385752201,32.045589447021484,0.2111429125070572,0.011542731896042824,33.40285873413086,0.14578960835933685,0.005368359386920929,31.885177612304688,/home/hongsheng/dec_con_asf/logs/exp_260813_225557_TaskDecControlStrongerControl_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_0.pt
StrongerControl,1,-1.1063528060913086,0.24855146332148909,0.4308035969734192,24.085487365722656,0.0,22.37612533569336,1.7180068492889404,50.46433639526367,51.53263473510742,0.07999999821186066,0.44630369544029236,0.011323734186589718,32.85680389404297,0.276289165019989,0.02325943298637867,33.463443756103516,0.18804332613945007,-0.010007422417402267,31.24614143371582,/home/hongsheng/dec_con_asf/logs/exp_260813_225557_TaskDecControlStrongerControl_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_1.pt
StrongerControl,2,-1.0503758192062378,0.2591529397453397,0.5004929304122925,24.140064239501953,0.0,21.706401824951172,1.8543155193328857,52.437049865722656,54.963470458984375,0.07999999821186066,0.4329446256160736,0.010984731838107109,31.873336791992188,0.3700675070285797,0.02681087888777256,34.11977767944336,0.3886931836605072,-0.013921176083385944,31.613466262817383,/home/hongsheng/dec_con_asf/logs/exp_260813_225557_TaskDecControlStrongerControl_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_2.pt
StrongerControl,4,-0.9452229142189026,0.2798465465446835,0.7419432401657104,24.834754943847656,0.0,20.426544189453125,2.213585138320923,58.487064361572266,63.31901931762695,0.07999999821186066,0.42905449867248535,-0.016909267753362656,30.264631271362305,0.5937324166297913,0.03852061927318573,36.25735855102539,0.566896915435791,-0.026308825239539146,33.22452926635742,/home/hongsheng/dec_con_asf/logs/exp_260813_225557_TaskDecControlStrongerControl_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/models/model_4.pt
