rank,project,method,experiment,result_kind,split_scope,epoch,checkpoint,bev_0_7,3d_0_7,bev_0_5,3d_0_5,bev_0_3,3d_0_3,mean_available,source_path,comparability_note
14,dec_con_asf,TaskDec Robust,exp_260810_221258_TaskDecControlRobust_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,complete_results,full,,,62.33962398170383,22.315618443567757,80.42524501100696,67.20669584968023,80.87225044046366,80.42498136197386,65.59740251473272,/home/hongsheng/dec_con_asf/logs/exp_260810_221258_TaskDecControlRobust_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/none/0.3/complete_results.txt,
15,dec_con_asf,Robust final model10 conf0.3,dec_con_asf,paper_or_compiled_json,,,,62.33962398170383,22.315618443567757,80.42524501100696,67.20669584968023,80.87225044046366,80.42498136197386,65.59740251473272,/home/hongsheng/dec_con_asf/results/v1_best_checkpoint_full_comparison_260813.json,
16,dec_con_asf,TaskDec Robust v1 conf0.3,dec_con_asf,paper_or_compiled_json,,,,62.33962398170383,22.315618443567757,80.42524501100696,67.20669584968023,80.87225044046366,80.42498136197386,65.59740251473272,/home/hongsheng/dec_con_asf/results/v1_task_dec_published_comparison_260812.json,
17,dec_con_asf,TaskDec Balanced,exp_260812_232646_TaskDecControlBalanced_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,complete_results,full_conditional,2,,62.69029290276765,21.897254577063126,80.37988453218126,67.57076206277459,89.01024720092134,80.37174196903251,66.98669720745674,/home/hongsheng/dec_con_asf/logs/exp_260812_232646_TaskDecControlBalanced_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_2_total/0.3/complete_results.txt,
18,dec_con_asf,Balanced best-subset model2 conf0.3,dec_con_asf,paper_or_compiled_json,,,,62.69029290276765,21.897254577063126,80.37988453218126,67.57076206277459,89.01024720092134,80.37174196903251,66.98669720745674,/home/hongsheng/dec_con_asf/results/v1_best_checkpoint_full_comparison_260813.json,
19,K-Radar-main,ASF v1 official/local,exp_250303_200024_A2F_v1_0,complete_results,full,,,62.85129838117256,18.84758961438235,80.32516486241366,67.19240527543302,80.77711184770162,80.31346659416178,65.05117276254417,/home/hongsheng/K-Radar-main/official_downloads/asf_v1_official_logs_min/exp_250303_200024_A2F_v1_0/test_kitti/none/0.3/complete_results.txt,
20,dec_con_asf,Official ASF v1 conf0.3,dec_con_asf,paper_or_compiled_json,,,,62.85129838117256,18.84758961438235,80.32516486241366,67.19240527543302,80.77711184770162,80.31346659416178,65.05117276254417,/home/hongsheng/dec_con_asf/results/v1_best_checkpoint_full_comparison_260813.json,
21,K-Radar-main,ASF v2 official,exp_250218_134456_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16_RLC,summary_conf_md,full_or_exported_summary,,,43.21,11.85,71.7,52.09,77.85,74.98,55.28,/home/hongsheng/K-Radar-main/results/official_asf_v2_RLC/summary_conf0.3.md,
22,K-Radar-main,ASF/A2Fusion,exp_260725_230526_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,complete_results,full,,,42.788269153965786,11.80060982640327,71.31973045770901,51.76322972108183,77.44271519762323,74.61048177743548,54.95417268903643,/home/hongsheng/K-Radar-main/logs/exp_260725_230526_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/none/0.3/complete_results.txt,
23,asf_patch_dec,ObjPatchDec Strong,exp_260803_210429_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,full_eval_summary,full_or_exported_summary,,,42.74,11.21,71.13,51.67,77.33,74.54,54.77,/home/hongsheng/asf_patch_dec/logs/exp_260803_210429_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/full_eval_summary.json,
24,asf_patch_dec,ObjPatchDec Strong,exp_260803_210429_ObjPatchDecStrong_model8_full,full_eval_summary,full_or_exported_summary,,,42.74,11.21,71.13,51.67,77.33,74.54,54.77,/home/hongsheng/asf_patch_dec/results/exp_260803_210429_ObjPatchDecStrong_model8_full/full_eval_summary.json,
25,asf_patch_dec,PatchDec,exp_260726_144405_PatchDec_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,summary_conf_md,full_or_exported_summary,,,42.25,11.62,71.22,51.5,75.18,74.48,54.375,/home/hongsheng/asf_patch_dec/results/exp_260726_144405_PatchDec_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/summary_conf0.3.md,
26,asf_patch_dec,ObjPatchDec Strong,exp_260728_181732_ObjPatchDecStrong_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,summary_conf_md,full_or_exported_summary,,,43.15,12.51,71.09,51.89,75.17,74.48,54.715,/home/hongsheng/asf_patch_dec/results/exp_260728_181732_ObjPatchDecStrong_full/summary_conf0.3.md,
27,asf_patch_dec,PatchDec,exp_260728_162524_PatchDec_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,summary_conf_md,full_or_exported_summary,,,42.42,11.01,71.09,51.16,77.33,74.46,54.578333333333326,/home/hongsheng/asf_patch_dec/results/exp_260728_162524_PatchDec_model8_full/summary_conf0.3.md,
28,asf_patch_dec,DecControlledASF Gentle,exp_260728_181732_ObjPatchDecGentle_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,summary_conf_md,full_or_exported_summary,,,42.74,12.07,69.26,51.86,75.27,72.54,53.95666666666667,/home/hongsheng/asf_patch_dec/results/exp_260728_181732_ObjPatchDecGentle_full/summary_conf0.3.md,
29,K-Radar-main,ASF/A2Fusion,exp_260721_133144_ASF_LR_bs4_ep15,summary_conf_md,full_or_exported_summary,,,38.04,9.65,66.13,46.05,72.48,69.37,50.28666666666667,/home/hongsheng/K-Radar-main/results/asf_bs4_ep15/summary_conf0.3.md,
30,K-Radar-main,DeCU-ASF,exp_260721_133144_DeCU_ASF_LR_bs4_ep15,summary_conf_md,full_or_exported_summary,,,37.78,9.82,66.11,45.88,72.47,69.28,50.223333333333336,/home/hongsheng/K-Radar-main/results/decu_bs4_ep15/summary_conf0.3.md,
31,decu_asf,DeCU-ASF,exp_260721_133144_DeCU_ASF_LR_bs4_ep15,summary_conf_md,full_or_exported_summary,,,37.78,9.82,66.11,45.88,72.47,69.28,50.223333333333336,/home/hongsheng/decu_asf/results/exp_260721_133144_DeCU_ASF_LR_bs4_ep15/summary_conf0.3.md,
32,K-Radar-main,SECOND,exp_260715_125207_SECOND,summary_conf_md,full_or_exported_summary,,,44.13,16.25,68.34,45.25,70.08,68.28,52.055,/home/hongsheng/K-Radar-main/results/exp_260715_125207_SECOND/summary_conf0.3.md,
33,decu_asf,DeCU-ASF,exp_260725_230532_DeCU_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,complete_results,full,,,19.74857469936415,2.4284917424335735,60.625755032841376,36.88682443866289,68.63176750940538,67.70555245374726,42.67116097940911,/home/hongsheng/decu_asf/logs/exp_260725_230532_DeCU_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/none/0.3/complete_results.txt,
34,K-Radar-main,ASF/A2Fusion,exp_260717_184456_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,summary_conf_md,full_or_exported_summary,,,37.36,9.85,63.92,44.47,70.23,67.1,48.821666666666665,/home/hongsheng/K-Radar-main/results/demo/summary_conf0.3.md,
35,K-Radar-main,ASF/A2Fusion,exp_260721_133145_ASF_LR_bs8_ep30,summary_conf_md,full_or_exported_summary,,,31.68,5.89,62.44,40.33,69.94,66.68,46.16,/home/hongsheng/K-Radar-main/results/exp_260721_133145_ASF_LR_bs8_ep30/summary_conf0.3.md,
36,decu_asf,DeCU-ASF,exp_260721_133144_DeCU_ASF_LR_bs8_ep30,summary_conf_md,full_or_exported_summary,,,37.57,8.23,61.82,44.15,67.97,64.92,47.443333333333335,/home/hongsheng/decu_asf/results/exp_260721_133144_DeCU_ASF_LR_bs8_ep30/summary_conf0.3.md,
37,v2,RL_3df_gate / DeCU-ASF early,exp_260714_024354_RL_3df_gate,summary_conf_md,full_or_exported_summary,,,11.39,0.65,49.87,15.03,69.73,57.0,33.945,/home/hongsheng/v2/results/exp_260714_024354_RL_3df_gate/summary_conf0.3.md,
38,K-Radar-main,RTNH,exp_260717_130203_RTNH,summary_conf_md,full_or_exported_summary,,,17.17,4.62,40.9,22.85,52.75,46.56,30.808333333333334,/home/hongsheng/K-Radar-main/results/exp_260717_130203_RTNH/summary_conf0.3.md,
