project,method,experiment,result_kind,split_scope,condition,conf,class,epoch,checkpoint,bev_0_7,3d_0_7,bev_0_5,3d_0_5,bev_0_3,3d_0_3,mean_available,mean_3d_available,source_path,source_note,comparability_note
K-Radar-main,ASF/A2Fusion,exp_260725_230526_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,complete_results,full,all,0.3,sed,,,42.788269153965786,11.80060982640327,71.31973045770901,51.76322972108183,77.44271519762323,74.61048177743548,54.95417268903643,46.058107108306864,/home/hongsheng/K-Radar-main/logs/exp_260725_230526_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/none/0.3/complete_results.txt,,
K-Radar-main,ASF v1 official/local,exp_260814_212832_ASF_v1_0_local_repro,complete_results,full,all,0.3,sed,,,63.10708440787629,22.95129787234395,80.4457359516899,67.71598904935695,89.14500596681748,80.44650465152583,67.30193631660173,57.037930524408914,/home/hongsheng/K-Radar-main/logs/exp_260814_212832_ASF_v1_0_local_repro/test_kitti/none/0.3/complete_results.txt,,
K-Radar-main,ASF v1 official/local,exp_250219_134333_A2F_v1_0,complete_results,full,all,0.0,sed,,,63.983746792307464,19.958881204526396,87.17088168295102,73.5760108556642,88.59018784204733,87.42184975058575,70.11692635468036,60.31891393692545,/home/hongsheng/K-Radar-main/official_downloads/asf_v1_official_logs_min/exp_250219_134333_A2F_v1_0/test_kitti/none/0.0/complete_results.txt,,
K-Radar-main,ASF v1 official/local,exp_250303_200024_A2F_v1_0,complete_results,full,all,0.0,sed,,,62.85048640310437,18.84758961438235,86.97363480841175,72.94898680476535,88.5883041960715,87.33703837418055,69.59100670015265,59.71120493110942,/home/hongsheng/K-Radar-main/official_downloads/asf_v1_official_logs_min/exp_250303_200024_A2F_v1_0/test_kitti/none/0.0/complete_results.txt,,
K-Radar-main,ASF v1 official/local,exp_250303_200024_A2F_v1_0,complete_results,full,all,0.3,sed,,,62.85129838117256,18.84758961438235,80.32516486241366,67.19240527543302,80.77711184770162,80.31346659416178,65.05117276254417,55.451153827992385,/home/hongsheng/K-Radar-main/official_downloads/asf_v1_official_logs_min/exp_250303_200024_A2F_v1_0/test_kitti/none/0.3/complete_results.txt,,
K-Radar-main,ASF/A2Fusion,exp_260721_133144_ASF_LR_bs4_ep15,summary_conf_md,full_or_exported_summary,all,0.3,sed,,,38.04,9.65,66.13,46.05,72.48,69.37,50.28666666666667,41.690000000000005,/home/hongsheng/K-Radar-main/results/asf_bs4_ep15/summary_conf0.3.md,,
K-Radar-main,DeCU-ASF,exp_260721_133144_DeCU_ASF_LR_bs4_ep15,summary_conf_md,full_or_exported_summary,all,0.3,sed,,,37.78,9.82,66.11,45.88,72.47,69.28,50.223333333333336,41.660000000000004,/home/hongsheng/K-Radar-main/results/decu_bs4_ep15/summary_conf0.3.md,,
K-Radar-main,ASF/A2Fusion,exp_260717_184456_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16,summary_conf_md,full_or_exported_summary,all,0.3,sed,,,37.36,9.85,63.92,44.47,70.23,67.1,48.821666666666665,40.47333333333333,/home/hongsheng/K-Radar-main/results/demo/summary_conf0.3.md,,
K-Radar-main,SECOND,exp_260715_125207_SECOND,summary_conf_md,full_or_exported_summary,all,0.3,sed,,,44.13,16.25,68.34,45.25,70.08,68.28,52.055,43.26,/home/hongsheng/K-Radar-main/results/exp_260715_125207_SECOND/summary_conf0.3.md,,
K-Radar-main,RTNH,exp_260717_130203_RTNH,summary_conf_md,full_or_exported_summary,all,0.3,sed,,,17.17,4.62,40.9,22.85,52.75,46.56,30.808333333333334,24.676666666666666,/home/hongsheng/K-Radar-main/results/exp_260717_130203_RTNH/summary_conf0.3.md,,
