name,variant,epoch,gpu,conf,condition,bev_0_7,bev_0_5,bev_0_3,3d_0_7,3d_0_5,3d_0_3,mean_all6,mean_3d,complete_results
StrongerControl_model4,StrongerControl,4,2,0.3,heavysnow,55.446213327037455,70.77345552865484,71.63315359627616,26.358743515571742,61.070952444628915,71.37834656877334,59.44347749682374,52.93601417632467,/home/hongsheng/dec_con_asf/logs/exp_260817_000340_TaskDecControlStrongerControl_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_4_total/0.3/complete_results.txt
StrongerControl_model4,StrongerControl,4,2,0.3,lightsnow,65.14754784604958,88.96114168908096,89.39929280784123,29.506224549917025,76.70159349164997,89.28091143995708,73.16611863741598,65.16290982717469,/home/hongsheng/dec_con_asf/logs/exp_260817_000340_TaskDecControlStrongerControl_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_4_total/0.3/complete_results.txt
StrongerControl_model4,StrongerControl,4,2,0.3,normal,57.77547549922476,87.74684744511056,88.51322764698743,14.934989050953085,65.84936790093168,87.8042896263705,67.10403286159634,56.19621552608509,/home/hongsheng/dec_con_asf/logs/exp_260817_000340_TaskDecControlStrongerControl_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_4_total/0.3/complete_results.txt
StrongerControl_model4,StrongerControl,4,2,0.3,overcast,76.10781742368468,90.35477086873608,90.46067146827835,24.60857137347943,80.67397712136886,90.3770601067374,75.43047806038079,65.2198695338619,/home/hongsheng/dec_con_asf/logs/exp_260817_000340_TaskDecControlStrongerControl_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_4_total/0.3/complete_results.txt
StrongerControl_model4,StrongerControl,4,2,0.3,rain,74.97887412593433,81.01457811586347,89.37292210362503,20.014806935526288,68.83343401270453,80.76580365692536,69.16340315842983,56.538014868385396,/home/hongsheng/dec_con_asf/logs/exp_260817_000340_TaskDecControlStrongerControl_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_4_total/0.3/complete_results.txt
StrongerControl_model4,StrongerControl,4,2,0.3,sleet,50.140357670539224,71.67773364986078,80.79946294617282,15.867841175218226,59.2005917116566,80.47885243396091,59.69413993123476,51.84909510694524,/home/hongsheng/dec_con_asf/logs/exp_260817_000340_TaskDecControlStrongerControl_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_4_total/0.3/complete_results.txt
MoreOpenGate_model2,MoreOpenGate,2,3,0.3,fog,76.49364102954874,90.6391472120174,90.82540070923805,46.406124181557914,79.83581525018127,90.71680702991772,79.15282256874352,72.31958215388563,/home/hongsheng/dec_con_asf/logs/exp_260817_000507_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_2_total/0.3/complete_results.txt
MoreOpenGate_model2,MoreOpenGate,2,3,0.3,heavysnow,51.71118852982427,69.49384953955762,70.91986601269274,25.611481574527485,60.18095152908912,70.62636208073492,58.090616544404355,52.13959839478384,/home/hongsheng/dec_con_asf/logs/exp_260817_000507_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_2_total/0.3/complete_results.txt
MoreOpenGate_model2,MoreOpenGate,2,3,0.3,lightsnow,65.11713082784246,89.0658397092268,89.50792202023717,30.8690691419792,77.73235978022512,89.43730140980492,73.62160381488594,66.01291011066975,/home/hongsheng/dec_con_asf/logs/exp_260817_000507_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_2_total/0.3/complete_results.txt
MoreOpenGate_model2,MoreOpenGate,2,3,0.3,normal,58.224710019782876,87.64316860373704,88.62067676741705,15.169632734741512,66.22367662119898,87.90055020962248,67.29706915941665,56.431286521854325,/home/hongsheng/dec_con_asf/logs/exp_260817_000507_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_2_total/0.3/complete_results.txt
MoreOpenGate_model2,MoreOpenGate,2,3,0.3,overcast,77.90411885498408,90.29844228839437,90.44811361517755,25.898026321139916,79.8984756073833,90.33469864183341,75.79697922148544,65.37706685678555,/home/hongsheng/dec_con_asf/logs/exp_260817_000507_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_2_total/0.3/complete_results.txt
MoreOpenGate_model2,MoreOpenGate,2,3,0.3,rain,67.23475627417892,81.1604116736376,89.50950205693078,21.763163276062116,68.6325430939272,80.87097712598687,68.19522558345392,57.088894498658725,/home/hongsheng/dec_con_asf/logs/exp_260817_000507_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_2_total/0.3/complete_results.txt
MoreOpenGate_model2,MoreOpenGate,2,3,0.3,sleet,44.98776345300937,71.62401465098701,80.95591398756125,10.739957716701904,67.75704931541057,80.77099831361143,59.472616239546916,53.089335115241305,/home/hongsheng/dec_con_asf/logs/exp_260817_000507_TaskDecControlMoreOpenGate_v1_0_A2FUSION_rlc_l1d256_l2p2t32d256g_l2g_scl_mha16/test_kitti/epoch_2_total/0.3/complete_results.txt
