case,Vehicle_3D,Pedestrian_3D,Cyclist_3D,mean_3D,Vehicle_BEV,Pedestrian_BEV,Cyclist_BEV,mean_BEV,delta_3D,delta_BEV
baseline,84.06294500415929,75.9391536542155,84.12965172719534,81.37725012852337,90.91433181491446,80.8769724961524,87.01602323958406,86.26910918355031,0.0,0.0
gate_mean,81.5122098018701,74.02969596393939,82.82330721651203,79.45507099410717,90.82285712082133,79.28718783311588,86.51584045100948,85.5419618016489,-1.9221791344161971,-0.7271473819014176
gate_shuffle_260923,81.46975017109547,73.65308942810846,82.49633729908018,79.20639229942803,90.80906373366417,78.9368775811709,86.5224175717298,85.42278629552163,-2.1708578290953398,-0.8463228880286806
gate_shuffle_260924,81.44754153033429,73.85602226637387,82.75228103229436,79.35194827633417,90.75283308327843,79.08748368034777,86.45254553002137,85.43095409788253,-2.0253018521892017,-0.8381550856677791
gate_shuffle_260925,81.47069719706221,73.61430262898288,82.57699684779286,79.22066555794598,90.8127460681813,78.94618787555783,86.40078450724712,85.38657281699541,-2.156584570577394,-0.882536366554902
no_query,84.06551599728063,75.94440049062466,84.1308087185037,81.38024173546967,90.91151901541859,80.8707673971519,87.01317259597346,86.26515300284798,0.002991606946295633,-0.003956180702331835
no_output,84.06774927647727,75.9376965239896,84.12776722396536,81.37773767481075,90.9119756574762,80.87674624293702,87.00876504851038,86.26582898297454,0.00048754628737412986,-0.0032802005757730512
