frame_idx,seq,sample_id,weather,num_fg_patches,num_bg_patches,camera_mean,lidar_mean,radar_mean,dominant,dominant_value,dominance_margin,entropy_mean,balance_score_mean,fg_gate_mean,bg_gate_mean,fg_gate_delta
46,1,00228,urban,24,24,0.005779,0.993372,0.000850,L,0.993372,0.987593,0.035942,0.007478,0.366897,0.114152,0.252745
47,1,00229,urban,28,24,0.006667,0.992383,0.000950,L,0.992383,0.985716,0.039552,0.008566,0.322799,0.122130,0.200668
48,1,00230,urban,31,24,0.009881,0.988699,0.001420,L,0.988699,0.978818,0.054496,0.012722,0.318798,0.127128,0.191670
49,1,00231,urban,31,24,0.007077,0.991862,0.001061,L,0.991862,0.984786,0.041780,0.009198,0.329848,0.108059,0.221790
50,1,00232,urban,26,24,0.006308,0.992773,0.000919,L,0.992773,0.986465,0.037514,0.008145,0.336161,0.120991,0.215170
51,1,00233,urban,35,24,0.008231,0.990536,0.001233,L,0.990536,0.982305,0.047727,0.010697,0.284807,0.132443,0.152364
52,1,00234,urban,35,24,0.005820,0.993291,0.000888,L,0.993291,0.987471,0.035406,0.007597,0.300929,0.128309,0.172620
53,1,00235,urban,35,24,0.007303,0.991623,0.001074,L,0.991623,0.984320,0.043786,0.009451,0.310448,0.121268,0.189179
54,1,00236,urban,35,24,0.007424,0.991508,0.001069,L,0.991508,0.984084,0.044576,0.009561,0.246869,0.120845,0.126025
55,1,00237,urban,35,24,0.008725,0.989937,0.001338,L,0.989937,0.981212,0.051233,0.011400,0.302523,0.120038,0.182485
56,1,00238,urban,30,24,0.007071,0.991866,0.001063,L,0.991866,0.984795,0.041678,0.009197,0.315819,0.122196,0.193624
57,1,00239,urban,33,24,0.006449,0.992607,0.000944,L,0.992607,0.986158,0.038853,0.008337,0.294273,0.126443,0.167830
58,1,00240,urban,30,24,0.008392,0.990386,0.001222,L,0.990386,0.981994,0.048236,0.010836,0.295125,0.113955,0.181170
59,1,00241,urban,28,24,0.008359,0.990378,0.001263,L,0.990378,0.982019,0.048518,0.010886,0.325433,0.123808,0.201625
60,1,00242,urban,32,24,0.007352,0.991572,0.001076,L,0.991572,0.984220,0.043297,0.009504,0.296931,0.134784,0.162147
61,1,00243,urban,33,24,0.006688,0.992354,0.000958,L,0.992354,0.985666,0.039795,0.008603,0.280503,0.118663,0.161840
62,1,00244,urban,48,24,0.007435,0.991426,0.001139,L,0.991426,0.983991,0.044177,0.009713,0.272631,0.119122,0.153509
63,1,00245,urban,48,24,0.005674,0.993444,0.000882,L,0.993444,0.987771,0.034425,0.007438,0.284706,0.115878,0.168828
64,1,00246,urban,48,24,0.005371,0.993817,0.000811,L,0.993817,0.988446,0.032616,0.006994,0.282533,0.129079,0.153454
65,1,00247,urban,48,24,0.007085,0.991792,0.001123,L,0.991792,0.984707,0.042907,0.009331,0.291223,0.119023,0.172199
66,1,00248,urban,48,24,0.006128,0.992883,0.000988,L,0.992883,0.986755,0.037086,0.008105,0.329749,0.113784,0.215965
67,1,00249,urban,48,24,0.005893,0.993176,0.000931,L,0.993176,0.987283,0.036519,0.007754,0.321349,0.125990,0.195359
68,1,00250,urban,48,24,0.004546,0.994737,0.000716,L,0.994737,0.990191,0.028604,0.005979,0.363769,0.119320,0.244449
69,1,00251,urban,48,24,0.004203,0.995132,0.000665,L,0.995132,0.990928,0.026909,0.005533,0.348390,0.115213,0.233177
70,1,00252,urban,48,24,0.005246,0.993885,0.000868,L,0.993885,0.988639,0.033071,0.006983,0.378863,0.116232,0.262631
71,1,00253,urban,48,24,0.006591,0.992301,0.001107,L,0.992301,0.985710,0.039910,0.008806,0.373046,0.126209,0.246837
72,1,00254,urban,48,24,0.005905,0.993125,0.000971,L,0.993125,0.987220,0.036556,0.007846,0.338196,0.123984,0.214212
73,1,00255,urban,48,24,0.006444,0.992495,0.001062,L,0.992495,0.986051,0.038961,0.008567,0.347976,0.136903,0.211073
74,1,00256,urban,48,24,0.006029,0.992951,0.001020,L,0.992951,0.986922,0.038582,0.008069,0.280337,0.127832,0.152505
75,1,00257,urban,24,24,0.003602,0.995827,0.000572,L,0.995827,0.992225,0.024323,0.004745,0.362535,0.120327,0.242208
76,1,00258,urban,33,24,0.004306,0.995053,0.000641,L,0.995053,0.990747,0.028124,0.005587,0.299888,0.122160,0.177728
77,1,00259,urban,30,24,0.005198,0.993989,0.000812,L,0.993989,0.988791,0.032882,0.006823,0.294002,0.120487,0.173515
78,1,00260,urban,30,24,0.006491,0.992543,0.000966,L,0.992543,0.986052,0.039721,0.008423,0.285244,0.124441,0.160803
79,1,00261,urban,32,24,0.005852,0.993337,0.000811,L,0.993337,0.987485,0.035834,0.007474,0.260134,0.126338,0.133796
