frame_idx,seq,sample_id,weather,patch_idx,foreground,camera,lidar,radar,dominant,dominant_value,dominance_margin,entropy,balance_score,fg_gate
0,1,00182,urban,50,0,0.004688,0.994708,0.000604,L,0.994708,0.990020,0.031762,0.005896,0.124819
0,1,00182,urban,783,0,0.006735,0.992414,0.000851,L,0.992414,0.985679,0.043009,0.008437,0.108542
0,1,00182,urban,772,0,0.011890,0.986606,0.001504,L,0.986606,0.974716,0.068974,0.014898,0.099680
0,1,00182,urban,972,0,0.005082,0.994255,0.000663,L,0.994255,0.989173,0.034063,0.006407,0.116514
0,1,00182,urban,892,0,0.005253,0.994204,0.000543,L,0.994204,0.988951,0.034072,0.006338,0.105687
0,1,00182,urban,185,0,0.019621,0.977932,0.002447,L,0.977932,0.958310,0.103468,0.024516,0.094480
0,1,00182,urban,844,0,0.015000,0.983045,0.001955,L,0.983045,0.968045,0.083742,0.018910,0.104368
0,1,00182,urban,1251,0,0.004614,0.994788,0.000598,L,0.994788,0.990174,0.031360,0.005809,0.116534
0,1,00182,urban,1179,0,0.017100,0.979413,0.003487,L,0.979413,0.962313,0.099834,0.024073,0.256856
0,1,00182,urban,1056,0,0.004801,0.994635,0.000565,L,0.994635,0.989834,0.032046,0.005930,0.093455
0,1,00182,urban,238,0,0.012561,0.985826,0.001613,L,0.985826,0.973266,0.072295,0.015787,0.136824
0,1,00182,urban,899,0,0.002541,0.997146,0.000313,L,0.997146,0.994606,0.018713,0.003167,0.141460
0,1,00182,urban,1073,0,0.008920,0.990032,0.001048,L,0.990032,0.981112,0.053890,0.011016,0.083626
0,1,00182,urban,1281,0,0.006050,0.992967,0.000982,L,0.992967,0.986917,0.040700,0.008015,0.201946
0,1,00182,urban,1033,0,0.016423,0.981413,0.002164,L,0.981413,0.964991,0.090272,0.020751,0.129394
0,1,00182,urban,843,0,0.010619,0.988076,0.001304,L,0.988076,0.977457,0.062608,0.013228,0.091558
0,1,00182,urban,1110,0,0.005411,0.993759,0.000830,L,0.993759,0.988349,0.036726,0.007070,0.167940
1,1,00183,urban,1224,1,0.006125,0.993094,0.000781,L,0.993094,0.986969,0.039759,0.007687,0.127211
1,1,00183,urban,1131,1,0.000001,0.999999,0.000000,L,0.999999,0.999999,0.000008,0.000001,0.593403
1,1,00183,urban,577,1,0.005187,0.993982,0.000831,L,0.993982,0.988795,0.035670,0.006850,0.231314
1,1,00183,urban,580,1,0.010128,0.988111,0.001760,L,0.988111,0.977983,0.063257,0.013649,0.285064
1,1,00183,urban,1314,1,0.003108,0.996502,0.000390,L,0.996502,0.993393,0.022302,0.003889,0.137640
1,1,00183,urban,486,1,0.000220,0.999748,0.000032,L,0.999748,0.999528,0.002216,0.000284,0.310477
1,1,00183,urban,1310,1,0.000281,0.999677,0.000041,L,0.999677,0.999396,0.002768,0.000364,0.277150
1,1,00183,urban,1217,1,0.002067,0.997630,0.000303,L,0.997630,0.995564,0.016017,0.002673,0.185754
1,1,00183,urban,1313,1,0.000100,0.999888,0.000012,L,0.999888,0.999788,0.001065,0.000125,0.207768
1,1,00183,urban,1402,1,0.003431,0.996074,0.000496,L,0.996074,0.992643,0.024720,0.004422,0.130924
1,1,00183,urban,1221,1,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000002,0.000000,0.708077
1,1,00183,urban,1223,1,0.000146,0.999835,0.000019,L,0.999835,0.999690,0.001507,0.000183,0.237786
1,1,00183,urban,1400,1,0.024575,0.971853,0.003573,L,0.971853,0.947278,0.126480,0.031720,0.144350
1,1,00183,urban,581,1,0.017842,0.979230,0.002928,L,0.979230,0.961388,0.099642,0.023698,0.208074
1,1,00183,urban,1308,1,0.015806,0.981779,0.002414,L,0.981779,0.965973,0.089347,0.020635,0.174884
1,1,00183,urban,1404,1,0.002512,0.997171,0.000317,L,0.997171,0.994658,0.018588,0.003147,0.148420
1,1,00183,urban,1128,1,0.010420,0.987787,0.001794,L,0.987787,0.977367,0.064661,0.014007,0.230278
1,1,00183,urban,579,1,0.009588,0.988880,0.001532,L,0.988880,0.979292,0.059661,0.012652,0.297659
1,1,00183,urban,402,1,0.004001,0.995286,0.000713,L,0.995286,0.991285,0.029091,0.005427,0.228330
1,1,00183,urban,398,1,0.000038,0.999956,0.000006,L,0.999956,0.999918,0.000453,0.000049,0.463572
1,1,00183,urban,1037,1,0.024423,0.972327,0.003250,L,0.972327,0.947904,0.124310,0.030923,0.138480
1,1,00183,urban,1127,1,0.004986,0.994258,0.000756,L,0.994258,0.989272,0.034215,0.006498,0.165919
1,1,00183,urban,1133,1,0.003254,0.996327,0.000419,L,0.996327,0.993073,0.023267,0.004091,0.150578
1,1,00183,urban,397,1,0.002498,0.997113,0.000389,L,0.997113,0.994615,0.019030,0.003277,0.298924
1,1,00183,urban,582,1,0.010654,0.987869,0.001477,L,0.987869,0.977215,0.063782,0.013608,0.131131
1,1,00183,urban,489,1,0.000000,1.000000,0.000000,L,1.000000,0.999999,0.000006,0.000000,0.700669
1,1,00183,urban,576,1,0.007343,0.991644,0.001013,L,0.991644,0.984300,0.046777,0.009369,0.144539
1,1,00183,urban,396,1,0.000570,0.999344,0.000086,L,0.999344,0.998774,0.005206,0.000742,0.275423
1,1,00183,urban,492,1,0.007926,0.990812,0.001262,L,0.990812,0.982886,0.050894,0.010450,0.182324
1,1,00183,urban,1218,1,0.001431,0.998324,0.000245,L,0.998324,0.996892,0.011913,0.001922,0.261591
1,1,00183,urban,1220,1,0.000000,1.000000,0.000000,L,1.000000,1.000000,0.000002,0.000000,0.751050
1,1,00183,urban,488,1,0.000072,0.999918,0.000010,L,0.999918,0.999846,0.000804,0.000092,0.476785
1,1,00183,urban,1312,1,0.000139,0.999843,0.000018,L,0.999843,0.999704,0.001447,0.000175,0.211854
1,1,00183,urban,1043,1,0.008788,0.990134,0.001078,L,0.990134,0.981345,0.053514,0.010945,0.131929
1,1,00183,urban,1129,1,0.000150,0.999828,0.000022,L,0.999828,0.999678,0.001573,0.000194,0.285610
1,1,00183,urban,1399,1,0.028507,0.967672,0.003821,L,0.967672,0.939166,0.140620,0.036148,0.134872
1,1,00183,urban,1132,1,0.000573,0.999343,0.000084,L,0.999343,0.998771,0.005209,0.000741,0.255865
1,1,00183,urban,310,1,0.000876,0.998993,0.000131,L,0.998993,0.998117,0.007595,0.001137,0.199314
1,1,00183,urban,1042,1,0.007296,0.991772,0.000932,L,0.991772,0.984476,0.046057,0.009160,0.144947
1,1,00183,urban,1311,1,0.000101,0.999884,0.000015,L,0.999884,0.999784,0.001100,0.000131,0.339561
1,1,00183,urban,309,1,0.001580,0.998177,0.000243,L,0.998177,0.996596,0.012778,0.002066,0.201858
1,1,00183,urban,1397,1,0.013574,0.984702,0.001724,L,0.984702,0.971128,0.076928,0.017022,0.137693
1,1,00183,urban,1044,1,0.003951,0.995552,0.000497,L,0.995552,0.991602,0.027381,0.004945,0.123235
1,1,00183,urban,490,1,0.000000,1.000000,0.000000,L,1.000000,0.999999,0.000006,0.000000,0.665704
1,1,00183,urban,1041,1,0.005827,0.993369,0.000804,L,0.993369,0.987542,0.038520,0.007435,0.198099
1,1,00183,urban,1130,1,0.000000,1.000000,0.000000,L,1.000000,0.999999,0.000006,0.000000,0.590716
1,1,00183,urban,401,1,0.000014,0.999983,0.000003,L,0.999983,0.999969,0.000189,0.000019,0.488463
1,1,00183,urban,1040,1,0.011405,0.987163,0.001432,L,0.987163,0.975758,0.066587,0.014268,0.165747
1,1,00183,urban,44,0,0.008767,0.990263,0.000970,L,0.990263,0.981496,0.052747,0.010707,0.103075
1,1,00183,urban,1169,0,0.003466,0.996100,0.000434,L,0.996100,0.992633,0.024475,0.004334,0.118447
1,1,00183,urban,702,0,0.001934,0.997840,0.000226,L,0.997840,0.995906,0.014692,0.002386,0.080862
1,1,00183,urban,866,0,0.003449,0.996116,0.000434,L,0.996116,0.992667,0.024390,0.004318,0.117597
1,1,00183,urban,717,0,0.001538,0.998287,0.000174,L,0.998287,0.996749,0.011999,0.001887,0.116654
1,1,00183,urban,194,0,0.009600,0.989092,0.001307,L,0.989092,0.979492,0.058374,0.012215,0.119040
1,1,00183,urban,1049,0,0.011927,0.986537,0.001536,L,0.986537,0.974609,0.069312,0.014999,0.134934
1,1,00183,urban,1356,0,0.010855,0.987521,0.001624,L,0.987521,0.976666,0.065474,0.014103,0.161964
1,1,00183,urban,1435,0,0.005171,0.994058,0.000771,L,0.994058,0.988887,0.035204,0.006713,0.118009
1,1,00183,urban,1163,0,0.007556,0.991589,0.000854,L,0.991589,0.984033,0.046719,0.009265,0.084061
1,1,00183,urban,1094,0,0.003567,0.995736,0.000697,L,0.995736,0.992169,0.026785,0.004962,0.283021
1,1,00183,urban,443,0,0.001918,0.997866,0.000216,L,0.997866,0.995949,0.014520,0.002350,0.121163
1,1,00183,urban,897,0,0.003537,0.996067,0.000396,L,0.996067,0.992531,0.024567,0.004328,0.104910
1,1,00183,urban,749,0,0.020470,0.976903,0.002627,L,0.976903,0.956433,0.107444,0.025723,0.109398
1,1,00183,urban,1387,0,0.001298,0.998560,0.000142,L,0.998560,0.997262,0.010310,0.001583,0.099808
1,1,00183,urban,704,0,0.003260,0.996319,0.000421,L,0.996319,0.993059,0.023315,0.004102,0.102165
1,1,00183,urban,122,0,0.019424,0.978379,0.002196,L,0.978379,0.958955,0.101387,0.023817,0.111589
1,1,00183,urban,846,0,0.008508,0.990345,0.001147,L,0.990345,0.981837,0.052729,0.010802,0.099348
1,1,00183,urban,361,0,0.026587,0.968827,0.004586,L,0.968827,0.942239,0.138190,0.035759,0.159679
1,1,00183,urban,21,0,0.009382,0.989622,0.000996,L,0.989622,0.980241,0.055534,0.011374,0.097632
1,1,00183,urban,567,0,0.001675,0.998107,0.000217,L,0.998107,0.996432,0.013137,0.002110,0.122388
1,1,00183,urban,1188,0,0.009079,0.989426,0.001495,L,0.989426,0.980347,0.057282,0.012069,0.170774
1,1,00183,urban,537,0,0.001082,0.998792,0.000126,L,0.998792,0.997710,0.008852,0.001333,0.138077
1,1,00183,urban,267,0,0.001999,0.997767,0.000234,L,0.997767,0.995768,0.015118,0.002466,0.103817
2,1,00184,urban,307,1,0.005445,0.993739,0.000817,L,0.993739,0.988294,0.036804,0.007078,0.186607
2,1,00184,urban,1130,1,0.000662,0.999248,0.000090,L,0.999248,0.998586,0.005856,0.000841,0.239706
2,1,00184,urban,1034,1,0.022145,0.974968,0.002887,L,0.974968,0.952823,0.114667,0.027919,0.138617
2,1,00184,urban,1219,1,0.000101,0.999883,0.000016,L,0.999883,0.999782,0.001113,0.000133,0.392664
2,1,00184,urban,1398,1,0.003472,0.996033,0.000495,L,0.996033,0.992560,0.024932,0.004462,0.120341
2,1,00184,urban,1037,1,0.006409,0.992828,0.000763,L,0.992828,0.986419,0.040953,0.007936,0.120936
2,1,00184,urban,580,1,0.014810,0.982626,0.002564,L,0.982626,0.967816,0.086388,0.019938,0.261371
2,1,00184,urban,1220,1,0.001949,0.997777,0.000273,L,0.997777,0.995828,0.015135,0.002496,0.185255
2,1,00184,urban,1215,1,0.000050,0.999943,0.000006,L,0.999943,0.999893,0.000572,0.000063,0.324204
2,1,00184,urban,1305,1,0.014045,0.984148,0.001807,L,0.984148,0.970103,0.079233,0.017659,0.153805
2,1,00184,urban,1036,1,0.004717,0.994706,0.000577,L,0.994706,0.989988,0.031724,0.005871,0.123969
