model,cls,group,gt,tp_3D,recall_3D,tp_BEV,recall_BEV,tp_mean_xy_m,tp_mean_z_m,tp_mean_size_l1_m,tp_mean_yaw_axis_deg
objdec_lr,all,radar:6-20,1986,1838,0.9254783484390735,1880,0.94662638469285,0.09264467316208422,0.04363915828077915,0.171062778255885,5.382469708794601
asf,all,radar:6-20,1986,1832,0.9224572004028198,1885,0.9491440080563948,0.09230394340826882,0.041501079424687025,0.16885847011052366,5.567192730519822
l4dr,all,radar:6-20,1986,1827,0.9199395770392749,1876,0.9446122860020141,0.08949172531701136,0.043451822686534664,0.17059813210660144,5.672385108853216
objdec_clr,all,radar:21+,3009,2903,0.9647723496178132,2936,0.9757394483217016,0.0812988620168968,0.034232080413931366,0.16996380206309145,2.838760123003873
objdec_lr,all,radar:21+,3009,2925,0.9720837487537388,2956,0.9823861748089067,0.08165289145774948,0.03415400242448872,0.17196283113243233,2.8888739766256024
asf,all,radar:21+,3009,2928,0.9730807577268196,2956,0.9823861748089067,0.08022839756187274,0.033349067716073,0.16699047102669223,2.835910436907466
l4dr,all,radar:21+,3009,2921,0.9707544034562978,2945,0.9787304752409438,0.08319369325291069,0.032211715291429265,0.17365389422617805,3.056357953263932
objdec_clr,Vehicle,all,4866,4266,0.8766954377311961,4547,0.9344430743937525,0.10125041230139836,0.04331393633692744,0.19834811565633453,1.5519073650855695
objdec_lr,Vehicle,all,4866,4326,0.8890258939580764,4588,0.9428688861487875,0.1027394129863027,0.042606537148073984,0.2040593732136353,1.616533372498751
asf,Vehicle,all,4866,4321,0.8879983559391698,4569,0.938964241676942,0.10256324549839486,0.04105145992502981,0.19862925570421103,1.6107147269185769
l4dr,Vehicle,all,4866,4294,0.8824496506370736,4575,0.94019728729963,0.10149660166105191,0.04278544943695554,0.20491127730193226,1.612272846023127
objdec_clr,Vehicle,range:0-30,2082,2018,0.9692603266090298,2045,0.9822286263208453,0.08176147809198608,0.02896644703017472,0.16713784323456976,1.2262214932279694
objdec_lr,Vehicle,range:0-30,2082,2030,0.9750240153698367,2056,0.9875120076849183,0.08392582289757565,0.029783555428529607,0.17125507499196846,1.241057781033278
asf,Vehicle,range:0-30,2082,2033,0.9764649375600384,2054,0.9865513928914506,0.08140358490203092,0.02848087497508136,0.16227774226014624,1.2567620873843892
l4dr,Vehicle,range:0-30,2082,2028,0.9740634005763689,2047,0.9831892411143132,0.08152942044879273,0.02857315871741483,0.17312194603904935,1.2412070339949515
objdec_clr,Vehicle,range:30-60,1953,1679,0.8597030209933436,1813,0.9283154121863799,0.11414200002843422,0.05102355906461377,0.2147100220271844,1.772866242586426
objdec_lr,Vehicle,range:30-60,1953,1707,0.8740399385560675,1831,0.937532002048131,0.11386069469085683,0.0488171341802268,0.21661430642698407,1.8534107814569591
asf,Vehicle,range:30-60,1953,1710,0.8755760368663594,1825,0.9344598054275474,0.11699046722718116,0.04728653694432207,0.21695168596959252,1.8002137177771365
l4dr,Vehicle,range:30-60,1953,1703,0.8719918074756784,1831,0.937532002048131,0.11499785297988852,0.048213712608576244,0.21772819074965616,1.802062904734733
objdec_clr,Vehicle,range:60+,831,569,0.6847172081829122,689,0.8291215403128761,0.13232895964920285,0.07144886930923261,0.26075705933026144,2.054972627097343
objdec_lr,Vehicle,range:60+,831,589,0.7087845968712395,701,0.8435619735258725,0.13534987140810575,0.06880206135315077,0.28073416845098215,2.224115229176593
asf,Vehicle,range:60+,831,578,0.6955475330926595,690,0.8303249097472925,0.13430553068210302,0.06681965629225371,0.2722819738322063,2.295044211010039
l4dr,Vehicle,range:60+,831,563,0.677496991576414,697,0.838748495788207,0.13258152617700728,0.07756021568554967,0.2806511710846191,2.374811028629301
objdec_clr,Vehicle,lidar:0-5,88,5,0.056818181818181816,12,0.13636363636363635,0.22329621762037277,0.06154012680053711,0.18999886512756348,3.6821038006093163
objdec_lr,Vehicle,lidar:0-5,88,9,0.10227272727272728,18,0.20454545454545456,0.22253835863537258,0.050962871975368924,0.24708173010084364,4.375879182768099
asf,Vehicle,lidar:0-5,88,10,0.11363636363636363,21,0.23863636363636365,0.15064345505088567,0.05107611417770386,0.20827691555023192,1.8631874506649684
l4dr,Vehicle,lidar:0-5,88,0,0.0,0,0.0,,,,
objdec_clr,Vehicle,lidar:6-20,47,19,0.40425531914893614,30,0.6382978723404256,0.12359451875090599,0.07458617185291491,0.2005323422582526,2.5634985708609355
objdec_lr,Vehicle,lidar:6-20,47,11,0.23404255319148937,27,0.574468085106383,0.1533761749213392,0.06008092381737449,0.24547503211281516,3.4615293569557606
asf,Vehicle,lidar:6-20,47,11,0.23404255319148937,26,0.5531914893617021,0.14725686304948546,0.08628738468343561,0.19967851855538107,2.5321500286427643
l4dr,Vehicle,lidar:6-20,47,16,0.3404255319148936,26,0.5531914893617021,0.141864423872903,0.08891598507761955,0.19994179159402847,2.8641607119926213
objdec_clr,Vehicle,lidar:21-100,1217,896,0.7362366474938373,1063,0.8734593262119967,0.12323792260966522,0.06554835053559925,0.21563767229339906,2.219678622385939
