case,AP3D@0.7,delta_AP3D@0.7,AP3D@0.5,delta_AP3D@0.5,AP3D@0.3,delta_AP3D@0.3,BEV@0.7,delta_BEV@0.7,BEV@0.5,delta_BEV@0.5,BEV@0.3,delta_BEV@0.3
baseline,22.060283976008794,0.0,67.48376248399028,0.0,88.3599179788903,0.0,62.653167952116625,0.0,88.1066440455159,0.0,88.83704090846908,0.0
gate_mean,7.959294436906378,-14.100989539102416,40.21089780760949,-27.272864676380784,53.90149945858569,-34.458418520304605,37.60247317503704,-25.050694777079585,53.163529934073026,-34.94311411144288,54.262254223232375,-34.5747866852367
gate_shuffle_260923,4.735579970721005,-17.32470400528779,17.528376816428562,-49.955385667561714,21.377548525683803,-66.98236945320649,16.64460053196382,-46.0085674201528,21.043931438661055,-67.06271260685486,21.59837862790196,-67.23866228056713
gate_shuffle_260924,6.2176218426479135,-15.84266213336088,17.469190503040288,-50.01457198094999,21.251410821298524,-67.10850715759177,16.599771077936154,-46.05339687418047,20.986438637277676,-67.12020540823823,21.524040688746645,-67.31300021972243
gate_shuffle_260925,3.9611532346565754,-18.09913074135222,12.910668810045978,-54.5730936739443,21.244814099362177,-67.11510387952812,16.602975598450644,-46.05019235366598,20.985031637477906,-67.121612408038,21.499788633553685,-67.33725227491539
no_query,22.106820095648676,0.04653611963988169,67.47112118640949,-0.012641297580785249,88.34919693786631,-0.010721041023984412,62.731966727476454,0.07879877535982871,88.09890123968967,-0.007742805826239874,88.83418961735322,-0.002851291115860022
no_output,22.056451557765154,-0.003832418243639779,67.4832560035943,-0.0005064803959697883,88.3599179788903,0.0,62.65158726275604,-0.0015806893605869732,88.1066440455159,0.0,88.83583775339336,-0.001203155075714335
no_query_output,22.109602086931915,0.049318110923120884,67.47423416394165,-0.00952832004863069,88.34528926471786,-0.0146287141724315,62.731966727476454,0.07879877535982871,88.0979708333962,-0.008673212119703066,88.83418961735322,-0.002851291115860022
