variant,checkpoint,epoch,split,metric,value
patch,last,80,test_deduplicated,V2X/Cyclist_3D_easy_strict,82.44442878390271
patch,last,80,test_deduplicated,V2X/Cyclist_BEV_easy_strict,84.86267486831689
patch,last,80,test_deduplicated,V2X/Cyclist_3D_moderate_strict,79.01643392721842
patch,last,80,test_deduplicated,V2X/Cyclist_BEV_moderate_strict,82.3975654158127
patch,last,80,test_deduplicated,V2X/Cyclist_3D_hard_strict,78.97082382277384
patch,last,80,test_deduplicated,V2X/Cyclist_BEV_hard_strict,82.40345289946734
patch,last,80,test_deduplicated,V2X/Cyclist_3D_easy_loose,91.04717651372269
patch,last,80,test_deduplicated,V2X/Cyclist_BEV_easy_loose,91.2629432721235
patch,last,80,test_deduplicated,V2X/Cyclist_3D_moderate_loose,89.02855923419777
patch,last,80,test_deduplicated,V2X/Cyclist_BEV_moderate_loose,89.26848595478575
patch,last,80,test_deduplicated,V2X/Cyclist_3D_hard_loose,88.98723150047714
patch,last,80,test_deduplicated,V2X/Cyclist_BEV_hard_loose,89.17472939656135
