variant,checkpoint,epoch,split,metric,value
patch,best,75,val_deduplicated,V2X/Vehicle_BEV_easy_loose,95.50379104779202
patch,best,75,val_deduplicated,V2X/Vehicle_3D_moderate_loose,93.32189198430206
patch,best,75,val_deduplicated,V2X/Vehicle_BEV_moderate_loose,94.6426028711986
patch,best,75,val_deduplicated,V2X/Vehicle_3D_hard_loose,92.67107381047516
patch,best,75,val_deduplicated,V2X/Vehicle_BEV_hard_loose,93.5061335715317
patch,best,75,val_deduplicated,V2X/Pedestrian_3D_easy_strict,60.49399052633259
patch,best,75,val_deduplicated,V2X/Pedestrian_BEV_easy_strict,65.18196818997573
patch,best,75,val_deduplicated,V2X/Pedestrian_3D_moderate_strict,58.914522844687525
patch,best,75,val_deduplicated,V2X/Pedestrian_BEV_moderate_strict,63.74436722618919
patch,best,75,val_deduplicated,V2X/Pedestrian_3D_hard_strict,58.906316607112196
patch,best,75,val_deduplicated,V2X/Pedestrian_BEV_hard_strict,63.73178678677183
patch,best,75,val_deduplicated,V2X/Pedestrian_3D_easy_loose,79.42083875244288
patch,best,75,val_deduplicated,V2X/Pedestrian_BEV_easy_loose,79.87093952407069
patch,best,75,val_deduplicated,V2X/Pedestrian_3D_moderate_loose,77.4020078136657
patch,best,75,val_deduplicated,V2X/Pedestrian_BEV_moderate_loose,77.79385882177897
patch,best,75,val_deduplicated,V2X/Pedestrian_3D_hard_loose,77.30565081390066
patch,best,75,val_deduplicated,V2X/Pedestrian_BEV_hard_loose,77.7342841805006
patch,best,75,val_deduplicated,V2X/Cyclist_3D_easy_strict,82.84355809020325
patch,best,75,val_deduplicated,V2X/Cyclist_BEV_easy_strict,84.98873801984905
patch,best,75,val_deduplicated,V2X/Cyclist_3D_moderate_strict,78.97325732468887
patch,best,75,val_deduplicated,V2X/Cyclist_BEV_moderate_strict,81.99051549771595
patch,best,75,val_deduplicated,V2X/Cyclist_3D_hard_strict,78.85381922980483
patch,best,75,val_deduplicated,V2X/Cyclist_BEV_hard_strict,81.92870446032006
patch,best,75,val_deduplicated,V2X/Cyclist_3D_easy_loose,90.32189364954057
patch,best,75,val_deduplicated,V2X/Cyclist_BEV_easy_loose,90.39198217578547
patch,best,75,val_deduplicated,V2X/Cyclist_3D_moderate_loose,88.42743691710935
patch,best,75,val_deduplicated,V2X/Cyclist_BEV_moderate_loose,88.59670743681791
patch,best,75,val_deduplicated,V2X/Cyclist_3D_hard_loose,88.46027422323431
patch,best,75,val_deduplicated,V2X/Cyclist_BEV_hard_loose,88.60210611475338
patch,best,75,val_deduplicated,V2X/Overall_3D_easy,76.95365021273636
patch,best,75,val_deduplicated,V2X/Overall_BEV_easy,80.86226998458585
patch,best,75,val_deduplicated,V2X/Overall_3D_moderate,72.76002175259958
patch,best,75,val_deduplicated,V2X/Overall_BEV_moderate,78.52247453055469
patch,best,75,val_deduplicated,V2X/Overall_3D_hard,72.02739749727934
patch,best,75,val_deduplicated,V2X/Overall_BEV_hard,77.92204711090612
patch,best,75,test,V2X/Vehicle_3D_easy_strict,86.23442551980014
patch,best,75,test,V2X/Vehicle_BEV_easy_strict,92.82346302122473
patch,best,75,test,V2X/Vehicle_3D_moderate_strict,78.53947062486439
patch,best,75,test,V2X/Vehicle_BEV_moderate_strict,88.48441668853866
patch,best,75,test,V2X/Vehicle_3D_hard_strict,78.05584355529207
patch,best,75,test,V2X/Vehicle_BEV_hard_strict,88.0058856833815
patch,best,75,test,V2X/Vehicle_3D_easy_loose,95.0553872229152
patch,best,75,test,V2X/Vehicle_BEV_easy_loose,95.7444107735478
patch,best,75,test,V2X/Vehicle_3D_moderate_loose,93.2121200836035
patch,best,75,test,V2X/Vehicle_BEV_moderate_loose,94.18809957036662
patch,best,75,test,V2X/Vehicle_3D_hard_loose,92.9957000233502
patch,best,75,test,V2X/Vehicle_BEV_hard_loose,93.7039323251667
patch,best,75,test,V2X/Pedestrian_3D_easy_strict,59.55615189750594
patch,best,75,test,V2X/Pedestrian_BEV_easy_strict,63.7829498301836
patch,best,75,test,V2X/Pedestrian_3D_moderate_strict,58.840088104333546
patch,best,75,test,V2X/Pedestrian_BEV_moderate_strict,63.46875090871566
