run,condition,class,metric,iou,ap,asf_ap,delta_pp
ASF official RLC,shoulder,sed,BEV,0.3,99.8751358346124,99.8751358346124,0.0
ASF official RLC,shoulder,sed,BEV,0.5,97.45584458702352,97.45584458702352,0.0
ASF official RLC,shoulder,sed,BEV,0.7,91.51245419840147,91.51245419840147,0.0
ASF official RLC,shoulder,bus,3D,0.3,0.0,0.0,0.0
ASF official RLC,shoulder,bus,3D,0.5,0.0,0.0,0.0
ASF official RLC,shoulder,bus,3D,0.7,0.0,0.0,0.0
ASF official RLC,shoulder,bus,BEV,0.3,0.0,0.0,0.0
ASF official RLC,shoulder,bus,BEV,0.5,0.0,0.0,0.0
ASF official RLC,shoulder,bus,BEV,0.7,0.0,0.0,0.0
ASF official RLC,mountain,sed,3D,0.3,89.73177252636825,89.73177252636825,0.0
ASF official RLC,mountain,sed,3D,0.5,67.50128091242576,67.50128091242576,0.0
ASF official RLC,mountain,sed,3D,0.7,13.183441358301417,13.183441358301417,0.0
ASF official RLC,mountain,sed,BEV,0.3,92.32416645520637,92.32416645520637,0.0
ASF official RLC,mountain,sed,BEV,0.5,91.98190998465427,91.98190998465427,0.0
ASF official RLC,mountain,sed,BEV,0.7,70.3354366985676,70.3354366985676,0.0
ASF official RLC,mountain,bus,3D,0.3,62.770121077896015,62.770121077896015,0.0
ASF official RLC,mountain,bus,3D,0.5,58.63868998244516,58.63868998244516,0.0
ASF official RLC,mountain,bus,3D,0.7,17.87936282457588,17.87936282457588,0.0
ASF official RLC,mountain,bus,BEV,0.3,62.81632755638571,62.81632755638571,0.0
ASF official RLC,mountain,bus,BEV,0.5,62.34393124720492,62.34393124720492,0.0
ASF official RLC,mountain,bus,BEV,0.7,40.825571448391415,40.825571448391415,0.0
ASF official RLC,university,sed,3D,0.3,72.46310754511738,72.46310754511738,0.0
ASF official RLC,university,sed,3D,0.5,43.654345636383454,43.654345636383454,0.0
ASF official RLC,university,sed,3D,0.7,5.918686971946433,5.918686971946433,0.0
ASF official RLC,university,sed,BEV,0.3,75.05350307985908,75.05350307985908,0.0
ASF official RLC,university,sed,BEV,0.5,68.77298567749861,68.77298567749861,0.0
ASF official RLC,university,sed,BEV,0.7,32.52734026072008,32.52734026072008,0.0
ASF official RLC,university,bus,3D,0.3,0.0,0.0,0.0
ASF official RLC,university,bus,3D,0.5,0.0,0.0,0.0
ASF official RLC,university,bus,3D,0.7,0.0,0.0,0.0
ASF official RLC,university,bus,BEV,0.3,0.0,0.0,0.0
ASF official RLC,university,bus,BEV,0.5,0.0,0.0,0.0
ASF official RLC,university,bus,BEV,0.7,0.0,0.0,0.0
ASF official RLC,day,sed,3D,0.3,77.14190080374229,77.14190080374229,0.0
ASF official RLC,day,sed,3D,0.5,54.75598286987021,54.75598286987021,0.0
ASF official RLC,day,sed,3D,0.7,12.594213477752811,12.594213477752811,0.0
ASF official RLC,day,sed,BEV,0.3,79.83859234146277,79.83859234146277,0.0
ASF official RLC,day,sed,BEV,0.5,74.1060258863607,74.1060258863607,0.0
ASF official RLC,day,sed,BEV,0.7,45.140982188209506,45.140982188209506,0.0
ASF official RLC,day,bus,3D,0.3,56.9292882026023,56.9292882026023,0.0
ASF official RLC,day,bus,3D,0.5,27.719277309777674,27.719277309777674,0.0
ASF official RLC,day,bus,3D,0.7,6.711469281739466,6.711469281739466,0.0
ASF official RLC,day,bus,BEV,0.3,60.21894965556813,60.21894965556813,0.0
ASF official RLC,day,bus,BEV,0.5,44.76612474412965,44.76612474412965,0.0
ASF official RLC,day,bus,BEV,0.7,16.6243848839265,16.6243848839265,0.0
ASF official RLC,night,sed,3D,0.3,70.67299438396955,70.67299438396955,0.0
ASF official RLC,night,sed,3D,0.5,46.58593243169625,46.58593243169625,0.0
ASF official RLC,night,sed,3D,0.7,11.23791429710876,11.23791429710876,0.0
ASF official RLC,night,sed,BEV,0.3,73.91598674452821,73.91598674452821,0.0
ASF official RLC,night,sed,BEV,0.5,66.84370892725146,66.84370892725146,0.0
ASF official RLC,night,sed,BEV,0.7,40.7247944433854,40.7247944433854,0.0
ASF official RLC,night,bus,3D,0.3,60.36562791309061,60.36562791309061,0.0
ASF official RLC,night,bus,3D,0.5,36.95414581651178,36.95414581651178,0.0
ASF official RLC,night,bus,3D,0.7,11.795749564263,11.795749564263,0.0
ASF official RLC,night,bus,BEV,0.3,75.85685730060533,75.85685730060533,0.0
ASF official RLC,night,bus,BEV,0.5,62.501625521904444,62.501625521904444,0.0
ASF official RLC,night,bus,BEV,0.7,25.94431296741182,25.94431296741182,0.0
ASF official RLC,normal,sed,3D,0.3,74.13846385475061,74.13846385475061,0.0
ASF official RLC,normal,sed,3D,0.5,49.62937192191424,49.62937192191424,0.0
ASF official RLC,normal,sed,3D,0.7,7.41858471823177,7.41858471823177,0.0
ASF official RLC,normal,sed,BEV,0.3,76.93696403582551,76.93696403582551,0.0
ASF official RLC,normal,sed,BEV,0.5,70.65476501087757,70.65476501087757,0.0
ASF official RLC,normal,sed,BEV,0.7,36.37259408289393,36.37259408289393,0.0
ASF official RLC,normal,bus,3D,0.3,53.28396691757169,53.28396691757169,0.0
