method,condition,cls,metric,iou,ap
"ASF (local, 11 epochs)",all,sed,bev,0.7,42.22969759194281
"ASF (local, 11 epochs)",all,bus,3d,0.3,55.091902649718996
"ASF (local, 11 epochs)",all,bus,3d,0.5,27.875481584672073
"ASF (local, 11 epochs)",all,bus,3d,0.7,7.5157175195115835
"ASF (local, 11 epochs)",all,bus,bev,0.3,64.26718315879398
"ASF (local, 11 epochs)",all,bus,bev,0.5,46.43092729921634
"ASF (local, 11 epochs)",all,bus,bev,0.7,16.836022543518915
"ASF (local, 11 epochs)",normal,sed,3d,0.3,73.44625344793056
"ASF (local, 11 epochs)",normal,sed,3d,0.5,48.89650857937281
"ASF (local, 11 epochs)",normal,sed,3d,0.7,5.248967629947662
"ASF (local, 11 epochs)",normal,sed,bev,0.3,76.19435412903167
"ASF (local, 11 epochs)",normal,sed,bev,0.5,69.90203560568324
"ASF (local, 11 epochs)",normal,sed,bev,0.7,35.76296358845472
"ASF (local, 11 epochs)",normal,bus,3d,0.3,50.39001504832407
"ASF (local, 11 epochs)",normal,bus,3d,0.5,21.15628866865333
"ASF (local, 11 epochs)",normal,bus,3d,0.7,4.750194717009211
"ASF (local, 11 epochs)",normal,bus,bev,0.3,54.57416002087643
"ASF (local, 11 epochs)",normal,bus,bev,0.5,33.66583616324587
"ASF (local, 11 epochs)",normal,bus,bev,0.7,10.069087235844483
"ASF (local, 11 epochs)",lightsnow,sed,3d,0.3,89.77436590173353
"ASF (local, 11 epochs)",lightsnow,sed,3d,0.5,59.24974658756845
"ASF (local, 11 epochs)",lightsnow,sed,3d,0.7,11.566225337234563
"ASF (local, 11 epochs)",lightsnow,sed,bev,0.3,92.66930336866905
"ASF (local, 11 epochs)",lightsnow,sed,bev,0.5,89.73558174409678
"ASF (local, 11 epochs)",lightsnow,sed,bev,0.7,63.822561812205414
"ASF (local, 11 epochs)",lightsnow,bus,3d,0.3,84.74680928772707
"ASF (local, 11 epochs)",lightsnow,bus,3d,0.5,70.58349954940184
